"",BBFN1.M.DE.N.1.A.UA.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.UA.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Ukraine,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:18:54,
1994-07,0.201,
1994-08,0.207,
1994-09,0.207,
1994-10,0.205,
1994-11,0.210,
1994-12,0.216,
1995-01,0.190,
1995-02,0.188,
1995-03,0.194,
1995-04,0.202,
1995-05,0.200,
1995-06,0.207,
1995-07,0.218,
1995-08,0.218,
1995-09,0.218,
1995-10,0.289,
1995-11,0.293,
1995-12,0.290,
1996-01,0.281,
1996-02,0.285,
1996-03,0.296,
1996-04,0.295,
1996-05,0.313,
1996-06,0.338,
1996-07,0.380,
1996-08,0.379,
1996-09,0.384,
1996-10,0.365,
1996-11,0.352,
1996-12,0.383,
1997-01,0.380,
1997-02,0.405,
1997-03,0.402,
1997-04,0.417,
1997-05,0.409,
1997-06,0.422,
1997-07,0.424,
1997-08,0.484,
1997-09,0.479,
1997-10,0.483,
1997-11,0.485,
1997-12,0.499,
1998-01,0.497,
1998-02,0.527,
1998-03,0.516,
1998-04,0.525,
1998-05,0.523,
1998-06,0.556,
1998-07,0.548,
1998-08,0.551,
1998-09,0.453,
1998-10,0.459,
1998-11,0.451,
1998-12,0.411,
1999-01,0.406,
1999-02,0.376,
1999-03,0.390,
1999-04,0.366,
1999-05,0.413,
1999-06,0.425,
1999-07,0.415,
1999-08,0.412,
1999-09,0.393,
1999-10,0.405,
1999-11,0.409,
1999-12,0.397,
2000-01,0.392,
2000-02,0.382,
2000-03,0.395,
2000-04,0.396,
2000-05,0.380,
2000-06,0.366,
2000-07,0.363,
2000-08,0.368,
2000-09,0.360,
2000-10,0.371,
2000-11,0.385,
2000-12,0.387,
2001-01,0.395,
2001-02,0.403,
2001-03,0.397,
2001-04,0.414,
2001-05,0.403,
2001-06,0.436,
2001-07,0.422,
2001-08,0.433,
2001-09,0.477,
2001-10,0.483,
2001-11,0.489,
2001-12,0.457,
2002-01,0.420,
2002-02,0.416,
2002-03,0.416,
2002-04,0.423,
2002-05,0.403,
2002-06,0.400,
2002-07,0.389,
2002-08,0.419,
2002-09,0.392,
2002-10,0.380,
2002-11,0.410,
2002-12,0.407,
2003-01,0.396,
2003-02,0.375,
2003-03,0.382,
2003-04,0.392,
2003-05,0.393,
2003-06,0.404,
2003-07,0.395,
2003-08,0.400,
2003-09,0.407,
2003-10,0.414,
2003-11,0.456,
2003-12,0.465,
2004-01,0.430,
2004-02,0.448,
2004-03,0.451,
2004-04,0.463,
2004-05,0.475,
2004-06,0.476,
2004-07,0.462,
2004-08,0.479,
2004-09,0.473,
2004-10,0.469,
2004-11,0.474,
2004-12,0.451,
2005-01,0.464,
2005-02,0.489,
2005-03,0.525,
2005-04,0.521,
2005-05,0.522,
2005-06,0.562,
2005-07,0.535,
2005-08,0.492,
2005-09,0.504,
2005-10,0.523,
2005-11,0.543,
2005-12,0.518,
2006-01,0.496,
2006-02,0.512,
2006-03,0.517,
2006-04,0.505,
2006-05,0.485,
2006-06,0.514,
2006-07,0.502,
2006-08,0.515,
2006-09,0.553,
2006-10,0.567,
2006-11,0.546,
2006-12,0.531,
2007-01,0.498,
2007-02,0.575,
2007-03,0.644,
2007-04,0.653,
2007-05,0.667,
2007-06,0.696,
2007-07,0.707,
2007-08,0.704,
2007-09,0.745,
2007-10,0.776,
2007-11,0.713,
2007-12,0.695,
2008-01,0.733,
2008-02,0.786,
2008-03,0.760,
2008-04,0.814,
2008-05,0.825,
2008-06,0.858,
2008-07,0.906,
2008-08,0.849,
2008-09,0.831,
2008-10,0.829,
2008-11,0.855,
2008-12,0.841,
2009-01,0.778,
2009-02,0.723,
2009-03,0.695,
2009-04,0.651,
2009-05,0.627,
2009-06,0.615,
2009-07,0.616,
2009-08,0.617,
2009-09,0.599,
2009-10,0.601,
2009-11,0.581,
2009-12,0.542,
2010-01,0.544,
2010-02,0.540,
2010-03,0.584,
2010-04,0.586,
2010-05,0.624,
2010-06,0.639,
2010-07,0.644,
2010-08,0.721,
2010-09,0.724,
2010-10,0.730,
2010-11,0.729,
2010-12,0.677,
2011-01,0.694,
2011-02,0.764,
2011-03,0.753,
2011-04,0.745,
2011-05,0.811,
2011-06,0.784,
2011-07,0.791,
2011-08,0.783,
2011-09,0.748,
2011-10,0.765,
2011-11,0.772,
2011-12,0.661,
2012-01,0.663,
2012-02,0.707,
2012-03,0.716,
2012-04,0.763,
2012-05,0.805,
2012-06,0.804,
2012-07,0.829,
2012-08,0.809,
2012-09,0.790,
2012-10,0.741,
2012-11,0.756,
2012-12,0.715,
2013-01,0.710,
2013-02,0.756,
2013-03,0.826,
2013-04,0.855,
2013-05,0.858,
2013-06,1.064,
2013-07,0.877,
2013-08,0.861,
2013-09,0.833,
2013-10,0.821,
2013-11,0.877,
2013-12,0.790,
2014-01,0.733,
2014-02,0.781,
2014-03,0.792,
2014-04,0.774,
2014-05,0.779,
2014-06,0.779,
2014-07,0.756,
2014-08,0.765,
2014-09,0.737,
2014-10,0.699,
2014-11,0.673,
2014-12,0.654,
