"",BBK01.OEAC13H,BBK01.OEAC13H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:55,
2002-01,14.006,
2002-04,13.649,
2002-07,13.714,
2002-10,13.356,
2003-01,13.619,
2003-04,12.617,
2003-07,7.992,
2003-10,8.083,
2004-01,7.582,
2004-04,7.360,
2004-07,7.116,
2004-10,6.938,
2005-01,6.651,
2005-04,6.427,
2005-07,6.517,
2005-10,6.656,
2006-01,6.925,
2006-04,7.088,
2006-07,7.158,
2006-10,7.229,
2007-01,7.104,
2007-04,7.428,
2007-07,7.075,
2007-10,6.912,
2008-01,7.139,
2008-04,7.366,
2008-07,7.303,
2008-10,7.276,
2009-01,7.108,
2009-04,6.894,
2009-07,6.815,
2009-10,6.825,
2010-01,6.831,
2010-04,7.350,
2010-07,7.145,
2010-10,7.073,
2011-01,6.613,
2011-04,6.455,
2011-07,6.522,
2011-10,6.893,
2012-01,6.847,
2012-04,7.421,
2012-07,7.654,
2012-10,7.656,
2013-01,7.607,
2013-04,7.737,
2013-07,7.906,
2013-10,7.902,
2014-01,7.800,
2014-04,7.932,
2014-07,8.182,
