"",BBK01.OEAC38H,BBK01.OEAC38H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:43,
2002-01,1.715,
2002-04,1.720,
2002-07,1.805,
2002-10,1.709,
2003-01,1.720,
2003-04,1.855,
2003-07,1.785,
2003-10,1.609,
2004-01,1.454,
2004-04,1.354,
2004-07,1.411,
2004-10,1.483,
2005-01,1.482,
2005-04,1.060,
2005-07,1.072,
2005-10,1.041,
2006-01,1.118,
2006-04,1.169,
2006-07,1.151,
2006-10,1.253,
2007-01,1.091,
2007-04,1.068,
2007-07,1.021,
2007-10,1.283,
2008-01,1.310,
2008-04,1.449,
2008-07,1.315,
2008-10,1.685,
2009-01,1.668,
2009-04,2.014,
2009-07,2.141,
2009-10,2.229,
2010-01,2.850,
2010-04,2.850,
2010-07,2.672,
2010-10,3.197,
2011-01,3.191,
2011-04,3.431,
2011-07,3.927,
2011-10,4.140,
2012-01,4.306,
2012-04,4.161,
2012-07,4.240,
2012-10,4.325,
2013-01,4.151,
2013-04,4.121,
2013-07,3.911,
2013-10,3.813,
2014-01,3.685,
2014-04,3.770,
2014-07,3.675,
