"",BBK01.OEXI02R,BBK01.OEXI02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:38,
2002-01,0.722,
2002-04,0.731,
2002-07,0.746,
2002-10,0.829,
2003-01,0.809,
2003-04,0.852,
2003-07,0.870,
2003-10,0.946,
2004-01,0.910,
2004-04,1.002,
2004-07,1.073,
2004-10,0.937,
2005-01,0.898,
2005-04,0.928,
2005-07,1.016,
2005-10,1.075,
2006-01,1.042,
2006-04,1.063,
2006-07,1.026,
2006-10,1.078,
2007-01,0.968,
2007-04,0.969,
2007-07,0.971,
2007-10,0.954,
2008-01,0.845,
2008-04,0.892,
2008-07,0.829,
2008-10,1.095,
2009-01,1.674,
2009-04,1.855,
2009-07,2.061,
2009-10,2.500,
2010-01,2.367,
2010-04,2.568,
2010-07,2.636,
2010-10,2.568,
2011-01,2.448,
2011-04,2.504,
2011-07,2.573,
2011-10,2.036,
2012-01,1.814,
2012-04,1.891,
2012-07,2.072,
2012-10,2.094,
2013-01,2.187,
2013-04,2.160,
2013-07,2.328,
2013-10,2.226,
2014-01,2.293,
2014-04,2.360,
2014-07,2.485,
