"",BBK01.OEHB09J,BBK01.OEHB09J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:31,
2002-01,3.572,
2002-04,3.652,
2002-07,3.658,
2002-10,3.656,
2003-01,3.673,
2003-04,3.711,
2003-07,3.670,
2003-10,3.694,
2004-01,3.692,
2004-04,3.771,
2004-07,3.732,
2004-10,3.711,
2005-01,3.818,
2005-04,3.854,
2005-07,3.809,
2005-10,3.901,
2006-01,3.914,
2006-04,3.935,
2006-07,3.883,
2006-10,3.927,
2007-01,3.933,
2007-04,3.952,
2007-07,4.004,
2007-10,4.150,
2008-01,4.168,
2008-04,4.322,
2008-07,4.395,
2008-10,4.501,
2009-01,4.596,
2009-04,4.689,
2009-07,4.717,
2009-10,4.812,
2010-01,4.875,
2010-04,4.976,
2010-07,4.856,
2010-10,5.078,
2011-01,5.113,
2011-04,5.119,
2011-07,5.175,
2011-10,5.258,
2012-01,5.332,
2012-04,5.429,
2012-07,5.510,
2012-10,5.457,
2013-01,5.523,
2013-04,5.574,
2013-07,5.537,
2013-10,5.554,
2014-01,5.586,
2014-04,5.578,
2014-07,5.596,
