"",BBFB1.Q.N.DE.FR.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.FR.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / France,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:24,
1991-01,1298.649,
1991-04,252.385,
1991-07,39.302,
1991-10,1288.393,
1992-01,-1812.612,
1992-04,1646.103,
1992-07,1445.356,
1992-10,-1198.198,
1993-01,1005.034,
1993-04,-919.633,
1993-07,990.649,
1993-10,638.042,
1994-01,-1154.391,
1994-04,1385.301,
1994-07,822.090,
1994-10,1095.055,
1995-01,554.785,
1995-04,-751.660,
1995-07,887.250,
1995-10,-180.205,
1996-01,422.500,
1996-04,1357.904,
1996-07,-1930.532,
1996-10,700.644,
1997-01,2519.650,
1997-04,2305.799,
1997-07,-1331.935,
1997-10,2009.317,
1998-01,4559.318,
1998-04,216.954,
1998-07,2335.411,
1998-10,4621.076,
1999-01,8735.870,
1999-04,2530.728,
1999-07,5033.339,
1999-10,-4071.488,
2000-01,2176.022,
2000-04,7257.829,
2000-07,-1589.296,
2000-10,-7175.912,
2001-01,12001.917,
2001-04,-3941.216,
2001-07,389.767,
2001-10,-1545.172,
2002-01,6623.832,
2002-04,-3487.385,
2002-07,3538.199,
2002-10,776.710,
2003-01,9542.834,
2003-04,7534.738,
2003-07,4517.644,
2003-10,-8834.590,
2004-01,9971.434,
2004-04,1721.385,
2004-07,-164.367,
2004-10,3168.591,
2005-01,-101.722,
2005-04,-186.973,
2005-07,-7971.752,
2005-10,3071.214,
2006-01,9720.306,
2006-04,-4194.516,
2006-07,3693.360,
2006-10,-10516.739,
2007-01,10797.653,
2007-04,114.808,
2007-07,534.499,
2007-10,3758.229,
2008-01,12043.465,
2008-04,-3787.398,
2008-07,-2915.893,
2008-10,-1976.888,
2009-01,5394.207,
2009-04,-4480.614,
2009-07,2972.642,
2009-10,-501.528,
2010-01,2865.390,
2010-04,1637.348,
2010-07,15451.092,
2010-10,-597.889,
2011-01,-1565.858,
2011-04,-2840.968,
2011-07,3643.001,
2011-10,-15215.068,
2012-01,3272.869,
2012-04,-1896.903,
2012-07,-348.573,
2012-10,-8999.361,
2013-01,7338.726,
2013-04,15858.547,
2013-07,-6834.742,
2013-10,-25225.562,
2014-01,13683.281,Provisional value
2014-04,-247.434,Provisional value
2014-07,-2200.307,Provisional value
2014-10,-4928.670,Provisional value
