"",BBK01.OEHK02J,BBK01.OEHK02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:30,
2002-01,0.178,
2002-04,0.177,
2002-07,0.166,
2002-10,0.171,
2003-01,0.157,
2003-04,0.168,
2003-07,0.155,
2003-10,0.154,
2004-01,0.149,
2004-04,0.150,
2004-07,0.159,
2004-10,0.148,
2005-01,0.130,
2005-04,0.145,
2005-07,0.152,
2005-10,0.161,
2006-01,0.155,
2006-04,0.150,
2006-07,0.193,
2006-10,0.194,
2007-01,0.190,
2007-04,0.193,
2007-07,0.197,
2007-10,0.190,
2008-01,0.178,
2008-04,0.187,
2008-07,0.182,
2008-10,0.211,
2009-01,0.224,
2009-04,0.235,
2009-07,0.265,
2009-10,0.284,
2010-01,0.259,
2010-04,0.256,
2010-07,0.261,
2010-10,0.279,
2011-01,0.267,
2011-04,0.259,
2011-07,0.258,
2011-10,0.278,
2012-01,0.279,
2012-04,0.294,
2012-07,0.300,
2012-10,0.309,
2013-01,0.320,
2013-04,0.342,
2013-07,0.357,
2013-10,0.358,
2014-01,0.363,
2014-04,0.366,
2014-07,0.419,
