"",BBK01.OEBK03K,BBK01.OEBK03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:04,
2002-01,1.090,
2002-04,1.114,
2002-07,1.166,
2002-10,1.286,
2003-01,1.172,
2003-04,1.091,
2003-07,1.180,
2003-10,1.022,
2004-01,1.046,
2004-04,1.038,
2004-07,1.013,
2004-10,1.113,
2005-01,0.979,
2005-04,0.962,
2005-07,0.959,
2005-10,0.798,
2006-01,0.796,
2006-04,0.792,
2006-07,0.942,
2006-10,0.831,
2007-01,0.877,
2007-04,0.951,
2007-07,1.066,
2007-10,1.376,
2008-01,1.242,
2008-04,1.329,
2008-07,1.616,
2008-10,1.429,
2009-01,1.019,
2009-04,1.068,
2009-07,0.917,
2009-10,0.766,
2010-01,0.683,
2010-04,0.604,
2010-07,0.614,
2010-10,0.737,
2011-01,0.736,
2011-04,0.723,
2011-07,0.761,
2011-10,0.774,
2012-01,0.696,
2012-04,0.620,
2012-07,0.545,
2012-10,0.454,
2013-01,0.357,
2013-04,0.341,
2013-07,0.343,
2013-10,0.311,
2014-01,0.299,
2014-04,0.286,
2014-07,0.250,
