"",BBFB1.Q.N.DE.FR.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.FR.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / France,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:20,
1991-01,1603.191,
1991-04,621.534,
1991-07,652.772,
1991-10,2408.127,
1992-01,-1483.754,
1992-04,1798.160,
1992-07,3868.873,
1992-10,769.301,
1993-01,2469.129,
1993-04,1720.106,
1993-07,2107.655,
1993-10,2033.731,
1994-01,-3993.587,
1994-04,1093.543,
1994-07,2031.790,
1994-10,3065.269,
1995-01,1868.473,
1995-04,2280.563,
1995-07,2392.801,
1995-10,1670.414,
1996-01,819.556,
1996-04,2349.844,
1996-07,-975.635,
1996-10,6007.676,
1997-01,7179.235,
1997-04,7577.585,
1997-07,4140.790,
1997-10,10835.909,
1998-01,11939.643,
1998-04,11314.814,
1998-07,9192.391,
1998-10,11398.418,
1999-01,15160.363,
1999-04,16542.561,
1999-07,13334.356,
1999-10,31337.939,
2000-01,2815.576,
2000-04,18669.039,
2000-07,5660.410,
2000-10,-424.988,
2001-01,20727.653,
2001-04,9724.501,
2001-07,4916.989,
2001-10,4686.192,
2002-01,8421.598,
2002-04,213.557,
2002-07,12259.993,
2002-10,4072.841,
2003-01,33734.971,
2003-04,30606.364,
2003-07,17825.836,
2003-10,6365.318,
2004-01,23244.908,
2004-04,21123.096,
2004-07,19805.890,
2004-10,21210.020,
2005-01,14298.644,
2005-04,16903.267,
2005-07,3618.570,
2005-10,-3228.875,
2006-01,24264.585,
2006-04,-828.917,
2006-07,27778.691,
2006-10,6975.874,
2007-01,21811.036,
2007-04,24630.743,
2007-07,61510.458,
2007-10,62219.711,
2008-01,42402.268,
2008-04,10256.203,
2008-07,26777.079,
2008-10,10105.363,
2009-01,1930.850,
2009-04,1478.843,
2009-07,33496.210,
2009-10,14168.763,
2010-01,24163.280,
2010-04,30602.313,
2010-07,48414.760,
2010-10,23458.825,
2011-01,20007.386,
2011-04,22270.242,
2011-07,23560.681,
2011-10,-24115.425,
2012-01,23488.761,
2012-04,20865.921,
2012-07,24030.177,
2012-10,9686.272,
2013-01,12093.245,
2013-04,36169.684,
2013-07,11773.770,
2013-10,-2886.664,
2014-01,31056.378,Provisional value
2014-04,33358.609,Provisional value
2014-07,21250.164,Provisional value
2014-10,14259.194,Provisional value
