"",BBK01.OEAH61O,BBK01.OEAH61O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:09,
2002-01,3.199,
2002-04,3.173,
2002-07,3.096,
2002-10,3.379,
2003-01,3.534,
2003-04,3.605,
2003-07,3.812,
2003-10,4.199,
2004-01,4.553,
2004-04,4.627,
2004-07,4.790,
2004-10,5.261,
2005-01,8.396,
2005-04,8.483,
2005-07,8.570,
2005-10,8.686,
2006-01,8.782,
2006-04,8.766,
2006-07,8.774,
2006-10,8.868,
2007-01,8.836,
2007-04,8.776,
2007-07,8.784,
2007-10,9.021,
2008-01,9.158,
2008-04,9.069,
2008-07,9.118,
2008-10,9.863,
2009-01,9.382,
2009-04,9.315,
2009-07,9.312,
2009-10,9.729,
2010-01,10.027,
2010-04,10.003,
2010-07,10.119,
2010-10,10.301,
2011-01,10.415,
2011-04,10.396,
2011-07,10.450,
2011-10,10.702,
2012-01,10.860,
2012-04,10.872,
2012-07,10.909,
2012-10,11.059,
2013-01,10.930,
2013-04,10.790,
2013-07,10.790,
2013-10,10.905,
2014-01,10.894,
2014-04,10.799,
2014-07,10.829,
