"",BBK01.OEHB16R,BBK01.OEHB16R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:01,
2002-01,1.725,
2002-04,1.744,
2002-07,1.743,
2002-10,1.760,
2003-01,1.723,
2003-04,1.720,
2003-07,1.723,
2003-10,1.726,
2004-01,1.683,
2004-04,1.664,
2004-07,1.653,
2004-10,1.658,
2005-01,1.620,
2005-04,1.602,
2005-07,1.589,
2005-10,1.583,
2006-01,1.554,
2006-04,1.534,
2006-07,1.520,
2006-10,1.517,
2007-01,1.470,
2007-04,1.454,
2007-07,1.417,
2007-10,1.415,
2008-01,1.407,
2008-04,1.412,
2008-07,1.402,
2008-10,1.397,
2009-01,1.381,
2009-04,1.380,
2009-07,1.383,
2009-10,1.379,
2010-01,1.346,
2010-04,1.349,
2010-07,1.341,
2010-10,1.352,
2011-01,1.344,
2011-04,1.346,
2011-07,1.338,
2011-10,1.338,
2012-01,1.335,
2012-04,1.342,
2012-07,1.338,
2012-10,1.346,
2013-01,1.336,
2013-04,1.341,
2013-07,1.354,
2013-10,1.364,
2014-01,1.358,
2014-04,1.368,
2014-07,1.378,
