"",BBK01.OEHL09S,BBK01.OEHL09S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:28,
2002-01,2.142,
2002-04,2.137,
2002-07,2.106,
2002-10,2.114,
2003-01,2.057,
2003-04,1.972,
2003-07,1.871,
2003-10,1.896,
2004-01,1.803,
2004-04,1.730,
2004-07,1.579,
2004-10,1.573,
2005-01,1.422,
2005-04,1.340,
2005-07,1.383,
2005-10,1.424,
2006-01,1.491,
2006-04,1.565,
2006-07,1.618,
2006-10,1.760,
2007-01,1.993,
2007-04,2.088,
2007-07,2.256,
2007-10,2.381,
2008-01,2.399,
2008-04,2.466,
2008-07,2.431,
2008-10,2.559,
2009-01,2.493,
2009-04,2.413,
2009-07,2.153,
2009-10,1.933,
2010-01,1.759,
2010-04,1.702,
2010-07,1.601,
2010-10,1.602,
2011-01,1.622,
2011-04,1.607,
2011-07,1.576,
2011-10,1.562,
2012-01,1.541,
2012-04,1.578,
2012-07,1.537,
2012-10,1.479,
2013-01,1.446,
2013-04,1.421,
2013-07,1.356,
2013-10,1.343,
2014-01,1.371,
2014-04,1.304,
2014-07,1.264,
