"",BBK01.OEAH15P,BBK01.OEAH15P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:30,
2002-01,18.785,
2002-04,18.651,
2002-07,18.565,
2002-10,18.833,
2003-01,19.210,
2003-04,19.284,
2003-07,19.271,
2003-10,20.028,
2004-01,19.776,
2004-04,19.861,
2004-07,19.798,
2004-10,20.755,
2005-01,21.083,
2005-04,21.110,
2005-07,21.287,
2005-10,21.621,
2006-01,21.603,
2006-04,21.382,
2006-07,21.421,
2006-10,22.104,
2007-01,22.011,
2007-04,22.283,
2007-07,22.774,
2007-10,23.329,
2008-01,23.079,
2008-04,23.085,
2008-07,23.092,
2008-10,24.255,
2009-01,24.137,
2009-04,24.520,
2009-07,24.835,
2009-10,25.450,
2010-01,25.378,
2010-04,25.709,
2010-07,25.655,
2010-10,26.622,
2011-01,26.387,
2011-04,26.755,
2011-07,27.415,
2011-10,28.116,
2012-01,27.639,
2012-04,27.778,
2012-07,28.125,
2012-10,28.936,
2013-01,28.738,
2013-04,27.869,
2013-07,27.362,
2013-10,27.308,
2014-01,27.285,
2014-04,27.185,
2014-07,27.058,
