"",BBK01.OEBB06Q,BBK01.OEBB06Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:16,
2002-01,3.026,
2002-04,2.904,
2002-07,2.898,
2002-10,2.835,
2003-01,2.798,
2003-04,2.808,
2003-07,2.813,
2003-10,2.335,
2004-01,2.222,
2004-04,2.109,
2004-07,2.079,
2004-10,1.944,
2005-01,1.950,
2005-04,1.890,
2005-07,1.908,
2005-10,1.752,
2006-01,1.803,
2006-04,1.774,
2006-07,1.745,
2006-10,1.741,
2007-01,1.698,
2007-04,1.729,
2007-07,1.734,
2007-10,1.757,
2008-01,1.718,
2008-04,1.785,
2008-07,1.786,
2008-10,1.645,
2009-01,1.611,
2009-04,1.476,
2009-07,1.446,
2009-10,1.283,
2010-01,1.362,
2010-04,1.394,
2010-07,1.433,
2010-10,1.380,
2011-01,1.432,
2011-04,1.467,
2011-07,1.507,
2011-10,1.309,
2012-01,1.374,
2012-04,1.393,
2012-07,1.418,
2012-10,1.317,
2013-01,1.517,
2013-04,1.480,
2013-07,1.577,
2013-10,1.376,
2014-01,1.432,
2014-04,2.057,
2014-07,1.596,
