"",BBK01.CEFK0N,BBK01.CEFK0N_FLAGS
"",Other equity                                            debtor: Total           creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:17,
1999-01,105.0,
1999-04,105.4,
1999-07,107.9,
1999-10,107.1,
2000-01,106.9,
2000-04,120.4,
2000-07,128.4,
2000-10,233.6,
2001-01,247.3,
2001-04,251.1,
2001-07,250.6,
2001-10,183.0,
2002-01,191.8,
2002-04,200.1,
2002-07,204.2,
2002-10,206.7,
2003-01,220.8,
2003-04,221.6,
2003-07,226.4,
2003-10,241.1,
2004-01,249.7,
2004-04,249.5,
2004-07,255.0,
2004-10,291.8,
2005-01,285.7,
2005-04,290.9,
2005-07,293.5,
2005-10,297.6,
2006-01,303.6,
2006-04,304.4,
2006-07,312.4,
2006-10,323.9,
2007-01,334.0,
2007-04,343.0,
2007-07,347.4,
2007-10,355.9,
2008-01,173.7,
2008-04,171.8,
2008-07,167.6,
2008-10,208.3,
2009-01,207.6,
2009-04,204.5,
2009-07,199.8,
2009-10,213.3,
2010-01,216.3,
2010-04,216.3,
2010-07,220.5,
2010-10,222.5,
2011-01,229.9,
2011-04,231.2,
2011-07,238.3,
2011-10,245.7,
2012-01,247.1,
2012-04,247.1,
2012-07,244.5,
2012-10,240.6,
2013-01,240.2,
2013-04,239.8,
2013-07,240.5,
2013-10,245.1,
2014-01,246.7,
2014-04,246.8,
2014-07,248.4,
