"",BBFN1.M.DE.N.1.A.FR.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.FR.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / France,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:10:01,
1994-12,16.139,
1995-01,16.133,
1995-02,15.807,
1995-03,15.982,
1995-04,16.217,
1995-05,15.974,
1995-06,16.343,
1995-07,15.824,
1995-08,15.539,
1995-09,15.527,
1995-10,14.858,
1995-11,14.388,
1995-12,12.401,
1996-01,12.276,
1996-02,12.419,
1996-03,13.145,
1996-04,13.379,
1996-05,14.019,
1996-06,14.016,
1996-07,13.713,
1996-08,12.606,
1996-09,13.377,
1996-10,12.654,
1996-11,13.662,
1996-12,13.289,
1997-01,13.145,
1997-02,15.219,
1997-03,15.279,
1997-04,16.685,
1997-05,16.397,
1997-06,16.064,
1997-07,16.228,
1997-08,14.542,
1997-09,14.101,
1997-10,13.800,
1997-11,13.723,
1997-12,13.055,
1998-01,13.191,
1998-02,13.547,
1998-03,14.987,
1998-04,15.299,
1998-05,16.808,
1998-06,15.324,
1998-07,16.181,
1998-08,15.044,
1998-09,16.110,
1998-10,16.289,
1998-11,16.506,
1998-12,15.049,
1999-01,15.195,
1999-02,15.250,
1999-03,16.508,
1999-04,16.147,
1999-05,16.406,
1999-06,17.656,
1999-07,17.830,
1999-08,17.296,
1999-09,17.987,
1999-10,17.857,
1999-11,18.125,
1999-12,19.956,
2000-01,19.461,
2000-02,19.812,
2000-03,21.220,
2000-04,21.405,
2000-05,19.706,
2000-06,19.447,
2000-07,20.243,
2000-08,20.257,
2000-09,21.640,
2000-10,21.708,
2000-11,22.308,
2000-12,21.956,
2001-01,22.727,
2001-02,23.534,
2001-03,23.251,
2001-04,23.411,
2001-05,23.546,
2001-06,22.809,
2001-07,23.205,
2001-08,23.641,
2001-09,23.528,
2001-10,24.752,
2001-11,25.161,
2001-12,23.619,
2002-01,25.392,
2002-02,25.073,
2002-03,25.301,
2002-04,25.263,
2002-05,26.968,
2002-06,29.010,
2002-07,28.287,
2002-08,27.644,
2002-09,28.628,
2002-10,27.515,
2002-11,26.338,
2002-12,24.702,
2003-01,27.865,
2003-02,28.939,
2003-03,31.926,
2003-04,36.778,
2003-05,36.691,
2003-06,31.928,
2003-07,32.295,
2003-08,29.659,
2003-09,30.499,
2003-10,30.770,
2003-11,30.778,
2003-12,28.057,
2004-01,28.611,
2004-02,30.641,
2004-03,30.326,
2004-04,31.939,
2004-05,34.340,
2004-06,33.812,
2004-07,32.073,
2004-08,33.300,
2004-09,32.335,
2004-10,33.581,
2004-11,34.421,
2004-12,29.465,
2005-01,31.001,
2005-02,30.222,
2005-03,32.054,
2005-04,33.786,
2005-05,34.501,
2005-06,33.837,
2005-07,34.885,
2005-08,34.218,
2005-09,35.957,
2005-10,38.295,
2005-11,37.219,
2005-12,34.203,
2006-01,34.171,
2006-02,35.108,
2006-03,35.817,
2006-04,38.138,
2006-05,36.837,
2006-06,35.608,
2006-07,36.570,
2006-08,39.228,
2006-09,39.512,
2006-10,39.994,
2006-11,42.836,
2006-12,42.437,
2007-01,44.930,
2007-02,53.509,
2007-03,56.860,
2007-04,56.255,
2007-05,60.471,
2007-06,66.980,
2007-07,65.796,
2007-08,67.696,
2007-09,71.090,
2007-10,77.490,
2007-11,85.105,
2007-12,77.965,
2008-01,83.030,
2008-02,87.437,
2008-03,87.838,
2008-04,89.474,
2008-05,90.616,
2008-06,88.526,
2008-07,93.641,
2008-08,91.157,
2008-09,95.281,
2008-10,99.615,
2008-11,100.026,
2008-12,90.732,
2009-01,89.808,
2009-02,89.878,
2009-03,92.541,
2009-04,94.238,
2009-05,99.116,
2009-06,94.598,
2009-07,95.364,
2009-08,99.589,
2009-09,99.079,
2009-10,102.586,
2009-11,105.706,
2009-12,101.158,
2010-01,101.138,
2010-02,106.183,
2010-03,106.098,
2010-04,111.661,
2010-05,111.669,
2010-06,111.729,
2010-07,118.118,
2010-08,121.252,
2010-09,123.265,
2010-10,129.903,
2010-11,133.663,
2010-12,132.924,
2011-01,136.778,
2011-02,131.785,
2011-03,127.427,
2011-04,132.706,
2011-05,140.125,
2011-06,127.531,
2011-07,136.261,
2011-08,132.947,
2011-09,130.036,
2011-10,120.254,
2011-11,120.009,
2011-12,104.482,
2012-01,106.087,
2012-02,111.137,
2012-03,109.226,
2012-04,102.964,
2012-05,102.904,
2012-06,103.255,
2012-07,109.265,
2012-08,107.046,
2012-09,107.874,
2012-10,104.326,
2012-11,107.749,
2012-12,103.958,
2013-01,100.033,
2013-02,97.937,
2013-03,105.836,
2013-04,104.661,
2013-05,107.199,
2013-06,109.324,
2013-07,103.036,
2013-08,100.692,
2013-09,101.644,
2013-10,103.673,
2013-11,111.450,
2013-12,110.888,
2014-01,108.543,
2014-02,112.943,
2014-03,127.148,
2014-04,118.016,
2014-05,131.924,
2014-06,123.132,
2014-07,121.634,
2014-08,125.647,
2014-09,124.151,
2014-10,120.167,
2014-11,122.542,
2014-12,121.916,
