"",BBK01.OEAE17N,BBK01.OEAE17N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:40,
2002-01,0.529,
2002-04,0.612,
2002-07,0.802,
2002-10,0.703,
2003-01,0.757,
2003-04,0.817,
2003-07,0.846,
2003-10,0.853,
2004-01,0.794,
2004-04,0.606,
2004-07,0.733,
2004-10,0.841,
2005-01,1.881,
2005-04,1.611,
2005-07,1.511,
2005-10,1.418,
2006-01,0.979,
2006-04,0.835,
2006-07,0.890,
2006-10,1.003,
2007-01,0.928,
2007-04,0.914,
2007-07,1.038,
2007-10,1.302,
2008-01,1.181,
2008-04,1.033,
2008-07,1.134,
2008-10,1.821,
2009-01,1.562,
2009-04,1.116,
2009-07,1.221,
2009-10,1.129,
2010-01,1.140,
2010-04,1.123,
2010-07,1.090,
2010-10,1.122,
2011-01,1.052,
2011-04,1.033,
2011-07,0.998,
2011-10,0.995,
2012-01,0.952,
2012-04,0.983,
2012-07,0.584,
2012-10,0.643,
2013-01,0.515,
2013-04,0.468,
2013-07,0.353,
2013-10,0.353,
2014-01,0.306,
2014-04,0.451,
2014-07,0.304,
