"",BBK01.OELB14H,BBK01.OELB14H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:24,
2002-01,3.677,
2002-04,3.701,
2002-07,3.618,
2002-10,3.537,
2003-01,3.475,
2003-04,3.437,
2003-07,3.353,
2003-10,3.218,
2004-01,3.130,
2004-04,3.094,
2004-07,3.044,
2004-10,2.912,
2005-01,2.916,
2005-04,2.848,
2005-07,2.795,
2005-10,2.652,
2006-01,2.685,
2006-04,2.665,
2006-07,2.622,
2006-10,2.489,
2007-01,2.488,
2007-04,2.543,
2007-07,2.499,
2007-10,2.480,
2008-01,2.485,
2008-04,2.537,
2008-07,2.567,
2008-10,2.511,
2009-01,2.534,
2009-04,2.596,
2009-07,2.534,
2009-10,2.347,
2010-01,2.399,
2010-04,2.432,
2010-07,2.322,
2010-10,2.165,
2011-01,2.215,
2011-04,2.291,
2011-07,2.284,
2011-10,2.199,
2012-01,2.238,
2012-04,2.362,
2012-07,2.300,
2012-10,2.225,
2013-01,2.281,
2013-04,2.326,
2013-07,2.262,
2013-10,2.199,
2014-01,2.198,
2014-04,2.283,
2014-07,2.259,
