"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.DK.00000.F05100.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.DK.00000.F05100.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / Denmark,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:39,
2009-09,491,
2009-10,450,
2009-11,472,
2009-12,498,
2010-01,539,
2010-02,536,
2010-03,563,
2010-04,607,
2010-05,574,
2010-06,596,
2010-07,614,
2010-08,598,
2010-09,676,
2010-10,694,
2010-11,713,
2010-12,762,
2011-01,740,
2011-02,786,
2011-03,780,
2011-04,782,
2011-05,785,
2011-06,775,
2011-07,743,
2011-08,616,
2011-09,586,
2011-10,624,
2011-11,651,
2011-12,664,
2012-01,680,
2012-02,748,
2012-03,764,
2012-04,795,
2012-05,760,
2012-06,769,
2012-07,848,
2012-08,840,
2012-09,847,
2012-10,847,
2012-11,875,
2012-12,895,
2013-01,940,
2013-02,956,
2013-03,960,
2013-04,991,
2013-05,1006,
2013-06,992,
2013-07,1058,
2013-08,1057,
2013-09,1062,
2013-10,1099,
2013-11,1181,
2013-12,1226,
2014-01,1248,
2014-02,1394,
2014-03,1405,
2014-04,1432,
2014-05,1477,
2014-06,1497,
2014-07,1501,
2014-08,1523,
2014-09,1567,
2014-10,1591,
2014-11,1606,
