"",BBK01.OEAG03R,BBK01.OEAG03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:33,
2002-01,0.473,
2002-04,0.469,
2002-07,0.463,
2002-10,0.543,
2003-01,0.446,
2003-04,0.396,
2003-07,0.390,
2003-10,0.702,
2004-01,0.688,
2004-04,0.694,
2004-07,0.694,
2004-10,0.696,
2005-01,0.744,
2005-04,0.745,
2005-07,0.739,
2005-10,0.705,
2006-01,0.670,
2006-04,0.645,
2006-07,0.645,
2006-10,0.634,
2007-01,0.118,
2007-04,0.098,
2007-07,0.092,
2007-10,0.096,
2008-01,0.125,
2008-04,0.101,
2008-07,0.100,
2008-10,0.100,
2009-01,0.101,
2009-04,0.099,
2009-07,0.093,
2009-10,0.078,
2010-01,0.077,
2010-04,0.077,
2010-07,0.076,
2010-10,0.094,
2011-01,0.093,
2011-04,0.096,
2011-07,0.091,
2011-10,0.090,
2012-01,0.080,
2012-04,0.087,
2012-07,0.078,
2012-10,0.079,
2013-01,0.076,
2013-04,0.090,
2013-07,0.070,
2013-10,0.070,
2014-01,0.178,
2014-04,0.177,
2014-07,0.176,
