"",BBK01.OEBB10R,BBK01.OEBB10R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:28,
2002-01,0.825,
2002-04,0.832,
2002-07,0.901,
2002-10,0.943,
2003-01,0.875,
2003-04,0.790,
2003-07,0.768,
2003-10,0.718,
2004-01,0.727,
2004-04,0.760,
2004-07,0.755,
2004-10,0.776,
2005-01,0.724,
2005-04,0.729,
2005-07,0.655,
2005-10,0.620,
2006-01,0.602,
2006-04,0.605,
2006-07,0.532,
2006-10,0.512,
2007-01,0.528,
2007-04,0.566,
2007-07,0.520,
2007-10,0.520,
2008-01,0.783,
2008-04,0.505,
2008-07,0.526,
2008-10,0.547,
2009-01,0.545,
2009-04,0.551,
2009-07,0.589,
2009-10,0.560,
2010-01,0.533,
2010-04,0.561,
2010-07,0.467,
2010-10,0.434,
2011-01,0.466,
2011-04,0.477,
2011-07,0.438,
2011-10,0.463,
2012-01,0.458,
2012-04,0.488,
2012-07,0.475,
2012-10,0.464,
2013-01,0.514,
2013-04,0.490,
2013-07,0.456,
2013-10,0.446,
2014-01,0.472,
2014-04,0.511,
2014-07,0.457,
