"",BBK01.OEYM04L,BBK01.OEYM04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:51,
2002-01,0.399,
2002-04,0.286,
2002-07,0.241,
2002-10,0.434,
2003-01,0.434,
2003-04,0.849,
2003-07,0.643,
2003-10,0.685,
2004-01,0.799,
2004-04,0.781,
2004-07,0.989,
2004-10,0.951,
2005-01,1.164,
2005-04,1.218,
2005-07,1.470,
2005-10,1.722,
2006-01,0.937,
2006-04,1.478,
2006-07,1.538,
2006-10,1.438,
2007-01,1.411,
2007-04,2.103,
2007-07,1.553,
2007-10,1.504,
2008-01,1.404,
2008-04,1.870,
2008-07,2.205,
2008-10,1.057,
2009-01,1.402,
2009-04,1.179,
2009-07,0.323,
2009-10,0.779,
2010-01,0.184,
2010-04,0.234,
2010-07,0.242,
2010-10,0.441,
2011-01,0.690,
2011-04,1.681,
2011-07,3.075,
2011-10,1.287,
2012-01,0.958,
2012-04,0.910,
2012-07,1.922,
2012-10,1.713,
2013-01,0.865,
2013-04,1.038,
2013-07,1.450,
2013-10,3.126,
2014-01,1.523,
2014-04,0.929,
2014-07,0.846,
