"",BBFB1.Q.N.DE.PT.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.PT.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Portugal,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:38,
1991-01,-0.030,
1991-04,-0.055,
1991-07,-0.004,
1991-10,-0.010,
1992-01,-0.038,
1992-04,-0.081,
1992-07,-0.040,
1992-10,-,Nothing exists
1993-01,-0.012,
1993-04,45.995,
1993-07,-0.040,
1993-10,71.751,
1994-01,-3.010,
1994-04,-0.011,
1994-07,-3.745,
1994-10,33.321,
1995-01,-0.101,
1995-04,-0.055,
1995-07,-0.096,
1995-10,-5.522,
1996-01,-0.022,
1996-04,0.163,
1996-07,-0.082,
1996-10,-0.091,
1997-01,-0.040,
1997-04,83.978,
1997-07,-0.860,
1997-10,-0.069,
1998-01,-0.028,
1998-04,10.260,
1998-07,-1.809,
1998-10,3.039,
1999-01,3.321,
1999-04,6.408,
1999-07,2.268,
1999-10,1.226,
2000-01,-45.904,
2000-04,-0.532,
2000-07,1.272,
2000-10,-0.310,
2001-01,0.096,
2001-04,-28.928,
2001-07,0.039,
2001-10,-0.045,
2002-01,-0.267,
2002-04,-,Nothing exists
2002-07,-0.066,
2002-10,-1.000,
2003-01,0.072,
2003-04,-0.059,
2003-07,-84.007,
2003-10,-,Nothing exists
2004-01,375.970,
2004-04,1.703,
2004-07,-1.078,
2004-10,-7.010,
2005-01,0.106,
2005-04,-0.248,
2005-07,-1.275,
2005-10,-0.946,
2006-01,-1.341,
2006-04,43.910,
2006-07,-,Nothing exists
2006-10,244.761,
2007-01,-17.245,
2007-04,384.136,
2007-07,2.503,
2007-10,54.845,
2008-01,-4.451,
2008-04,-0.311,
2008-07,-0.402,
2008-10,-1.628,
2009-01,9.550,
2009-04,32.225,
2009-07,9.593,
2009-10,-7.582,
2010-01,-3.259,
2010-04,-12.633,
2010-07,-1.539,
2010-10,113.300,
2011-01,-1.545,
2011-04,-4.076,
2011-07,-3.520,
2011-10,-305.049,
2012-01,-2.043,
2012-04,-395.188,
2012-07,-0.053,
2012-10,-5.818,
2013-01,-17.665,
2013-04,10.000,
2013-07,6.920,
2013-10,7.000,
2014-01,-373.000,Provisional value
2014-04,38.975,Provisional value
2014-07,18.005,Provisional value
2014-10,-55.880,Provisional value
