"",BBFB1.M.N.DE.W1.S1.S1.T.D.SI2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.SI2._Z._Z._Z._T._X.N_FLAGS
"","Current account / Telecommunications, computer and information services / Computer services / Expenditure / Rest of the World",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:49,
1991-01,73.148,
1991-02,42.137,
1991-03,50.886,
1991-04,48.138,
1991-05,52.933,
1991-06,57.065,
1991-07,66.566,
1991-08,61.774,
1991-09,36.787,
1991-10,56.630,
1991-11,41.247,
1991-12,75.026,
1992-01,59.137,
1992-02,42.430,
1992-03,55.078,
1992-04,56.317,
1992-05,49.637,
1992-06,70.075,
1992-07,95.008,
1992-08,55.555,
1992-09,52.123,
1992-10,79.481,
1992-11,53.311,
1992-12,78.743,
1993-01,102.461,
1993-02,84.859,
1993-03,84.205,
1993-04,66.139,
1993-05,77.800,
1993-06,92.424,
1993-07,99.513,
1993-08,69.319,
1993-09,82.125,
1993-10,87.403,
1993-11,87.770,
1993-12,98.799,
1994-01,126.124,
1994-02,86.068,
1994-03,70.040,
1994-04,77.259,
1994-05,81.527,
1994-06,74.476,
1994-07,89.825,
1994-08,81.578,
1994-09,71.884,
1994-10,81.222,
1994-11,86.087,
1994-12,98.153,
1995-01,167.309,
1995-02,101.907,
1995-03,131.789,
1995-04,164.152,
1995-05,106.144,
1995-06,93.079,
1995-07,113.960,
1995-08,106.659,
1995-09,85.224,
1995-10,124.598,
1995-11,105.963,
1995-12,137.283,
1996-01,155.308,
1996-02,124.822,
1996-03,131.493,
1996-04,115.216,
1996-05,111.465,
1996-06,123.284,
1996-07,144.288,
1996-08,144.679,
1996-09,169.248,
1996-10,160.271,
1996-11,218.343,
1996-12,231.840,
1997-01,246.881,
1997-02,131.966,
1997-03,224.492,
1997-04,187.741,
1997-05,208.999,
1997-06,256.982,
1997-07,253.601,
1997-08,218.208,
1997-09,226.641,
1997-10,249.480,
1997-11,259.535,
1997-12,268.135,
1998-01,264.386,
1998-02,221.592,
1998-03,237.641,
1998-04,214.492,
1998-05,252.647,
1998-06,260.059,
1998-07,278.555,
1998-08,288.774,
1998-09,272.210,
1998-10,259.714,
1998-11,346.613,
1998-12,358.935,
1999-01,290.665,
1999-02,354.064,
1999-03,326.131,
1999-04,292.540,
1999-05,368.156,
1999-06,346.710,
1999-07,313.236,
