"",BBFB1.Q.N.DE.IT.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.IT.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Italy,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:46,
1991-01,1065.277,
1991-04,-424.398,
1991-07,-831.864,
1991-10,2973.432,
1992-01,1039.893,
1992-04,-894.908,
1992-07,-260.864,
1992-10,1998.049,
1993-01,1885.517,
1993-04,407.372,
1993-07,602.965,
1993-10,275.966,
1994-01,1020.172,
1994-04,-326.594,
1994-07,89.377,
1994-10,773.124,
1995-01,-570.848,
1995-04,1330.976,
1995-07,-291.755,
1995-10,1550.778,
1996-01,-314.415,
1996-04,1093.125,
1996-07,1163.972,
1996-10,4200.740,
1997-01,2785.548,
1997-04,5780.607,
1997-07,5960.469,
1997-10,2137.991,
1998-01,6043.567,
1998-04,9022.066,
1998-07,7117.461,
1998-10,9416.950,
1999-01,9887.306,
1999-04,-13415.945,
1999-07,11289.985,
1999-10,27971.967,
2000-01,11356.577,
2000-04,-6735.791,
2000-07,-2290.857,
2000-10,66.686,
2001-01,25653.497,
2001-04,-4832.360,
2001-07,5977.905,
2001-10,-513.934,
2002-01,12.268,
2002-04,6264.544,
2002-07,-2880.148,
2002-10,6954.273,
2003-01,5555.187,
2003-04,-5247.219,
2003-07,-478.111,
2003-10,-7462.943,
2004-01,-7137.741,
2004-04,9089.203,
2004-07,-4451.926,
2004-10,2656.535,
2005-01,18234.651,
2005-04,17148.456,
2005-07,-9061.959,
2005-10,25014.053,
2006-01,17353.933,
2006-04,-1956.278,
2006-07,-2020.392,
2006-10,-7406.145,
2007-01,6180.816,
2007-04,40550.061,
2007-07,-22637.643,
2007-10,3662.358,
2008-01,-13830.676,
2008-04,1668.684,
2008-07,-9859.758,
2008-10,-18529.886,
2009-01,-7483.838,
2009-04,-1466.109,
2009-07,-8186.230,
2009-10,5317.371,
2010-01,-180.346,
2010-04,-4153.970,
2010-07,3482.797,
2010-10,29662.546,
2011-01,5812.916,
2011-04,-1685.274,
2011-07,1650.759,
2011-10,7544.866,
2012-01,-10010.118,
2012-04,1489.933,
2012-07,-3021.316,
2012-10,1737.920,
2013-01,2075.226,
2013-04,6558.749,
2013-07,-5478.692,
2013-10,-1591.502,
2014-01,-301.955,Provisional value
2014-04,1630.835,Provisional value
2014-07,-970.667,Provisional value
2014-10,3182.053,Provisional value
