"",BBFB1.M.N.DE.W1.S1.S1.T.B.SC._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.SC._Z._Z._Z._T._X.N_FLAGS
"",Current account / Transport / Balance / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:08,
1991-01,-331.698,
1991-02,-216.787,
1991-03,-313.529,
1991-04,-115.741,
1991-05,-185.838,
1991-06,-249.999,
1991-07,-343.133,
1991-08,-217.991,
1991-09,-147.813,
1991-10,-215.179,
1991-11,-291.013,
1991-12,-270.097,
1992-01,-383.591,
1992-02,-244.299,
1992-03,-268.625,
1992-04,-187.468,
1992-05,-189.199,
1992-06,-248.699,
1992-07,-229.276,
1992-08,-364.791,
1992-09,-290.556,
1992-10,-186.207,
1992-11,-208.955,
1992-12,-387.411,
1993-01,-309.344,
1993-02,-201.589,
1993-03,-165.601,
1993-04,-296.260,
1993-05,-264.957,
1993-06,-188.898,
1993-07,-276.349,
1993-08,-267.818,
1993-09,-300.730,
1993-10,-233.558,
1993-11,-277.242,
1993-12,-122.496,
1994-01,-283.972,
1994-02,-195.057,
1994-03,-214.673,
1994-04,-193.972,
1994-05,-259.269,
1994-06,-246.479,
1994-07,-350.651,
1994-08,-373.361,
1994-09,-258.174,
1994-10,-278.068,
1994-11,-277.082,
1994-12,-298.941,
1995-01,-313.024,
1995-02,-194.422,
1995-03,-266.687,
1995-04,-360.042,
1995-05,-302.817,
1995-06,-365.887,
1995-07,-341.327,
1995-08,-344.028,
1995-09,-358.621,
1995-10,-368.598,
1995-11,-294.641,
1995-12,-270.152,
1996-01,-476.555,
1996-02,-349.585,
1996-03,-526.186,
1996-04,-370.814,
1996-05,-489.532,
1996-06,-397.598,
1996-07,-589.214,
1996-08,-323.895,
1996-09,-478.640,
1996-10,-480.790,
1996-11,-448.838,
1996-12,-465.238,
1997-01,-450.461,
1997-02,-463.554,
1997-03,-428.995,
1997-04,-482.853,
1997-05,-338.725,
1997-06,-420.318,
1997-07,-495.300,
1997-08,-393.059,
1997-09,-494.484,
1997-10,-472.275,
1997-11,-678.621,
1997-12,-327.314,
1998-01,-574.447,
1998-02,-442.264,
1998-03,-426.537,
1998-04,-599.299,
1998-05,-413.152,
1998-06,-519.567,
1998-07,-461.427,
1998-08,-565.854,
1998-09,-526.424,
1998-10,-558.176,
1998-11,-538.788,
1998-12,-381.726,
1999-01,-558.996,
1999-02,-421.481,
1999-03,-439.855,
1999-04,-510.027,
1999-05,-387.119,
1999-06,-594.353,
1999-07,-424.989,
1999-08,-434.451,
1999-09,-628.347,
1999-10,-563.285,
1999-11,-618.064,
1999-12,-399.717,
2000-01,-702.907,
2000-02,-609.147,
2000-03,-545.763,
2000-04,-688.437,
2000-05,-678.293,
2000-06,-632.905,
2000-07,-576.957,
2000-08,-646.083,
2000-09,-693.391,
2000-10,-749.219,
2000-11,-835.209,
2000-12,-556.846,
2001-01,-824.027,
2001-02,-600.511,
2001-03,-570.830,
2001-04,-681.505,
2001-05,-457.283,
2001-06,-605.895,
2001-07,-506.128,
2001-08,-542.887,
2001-09,-602.996,
2001-10,-607.015,
2001-11,-714.279,
2001-12,-399.181,
2002-01,-719.826,
2002-02,-760.063,
2002-03,-780.301,
2002-04,-675.486,
2002-05,-724.334,
2002-06,-491.812,
2002-07,-649.081,
2002-08,-765.392,
2002-09,-638.916,
2002-10,-646.166,
2002-11,-748.225,
2002-12,-591.129,
2003-01,-917.818,
2003-02,-890.703,
2003-03,-622.070,
2003-04,-655.943,
2003-05,-749.722,
2003-06,-490.638,
2003-07,-892.900,
2003-08,-715.116,
2003-09,-772.030,
2003-10,-914.134,
2003-11,-754.179,
2003-12,-560.267,
2004-01,-891.490,
2004-02,-763.370,
2004-03,-616.963,
2004-04,-528.177,
2004-05,-759.305,
2004-06,-370.690,
2004-07,-863.236,
2004-08,-630.774,
2004-09,-954.555,
2004-10,-768.981,
2004-11,-729.135,
2004-12,-539.706,
2005-01,-868.125,
2005-02,-601.500,
2005-03,-577.229,
2005-04,-728.024,
2005-05,-607.775,
2005-06,-550.584,
2005-07,-332.699,
2005-08,-489.696,
2005-09,-510.461,
2005-10,-523.963,
2005-11,-412.449,
2005-12,-360.899,
2006-01,-791.459,
2006-02,-697.193,
2006-03,-943.042,
2006-04,-545.165,
2006-05,-592.595,
2006-06,-647.095,
2006-07,-555.421,
2006-08,-672.526,
2006-09,-760.319,
2006-10,-652.133,
2006-11,-697.583,
2006-12,-732.039,
2007-01,-838.422,
2007-02,-880.478,
2007-03,-566.316,
2007-04,-489.586,
2007-05,-789.686,
2007-06,-753.660,
2007-07,-727.088,
2007-08,-858.574,
2007-09,-662.706,
2007-10,-793.315,
2007-11,-883.060,
2007-12,-926.026,
2008-01,-938.257,
2008-02,-643.654,
2008-03,-876.906,
2008-04,-695.196,
2008-05,-854.414,
2008-06,-679.491,
2008-07,-802.542,
2008-08,-886.040,
2008-09,-736.010,
2008-10,-712.442,
2008-11,-810.040,
2008-12,-452.633,
2009-01,-281.120,
2009-02,28.786,
2009-03,12.591,
2009-04,-71.033,
2009-05,-90.494,
2009-06,-258.987,
2009-07,-363.182,
2009-08,-427.594,
2009-09,-530.505,
2009-10,-449.988,
2009-11,-368.119,
2009-12,-459.360,
2010-01,-638.048,
2010-02,-562.253,
2010-03,-797.580,
2010-04,-633.204,
2010-05,-671.372,
2010-06,-735.547,
2010-07,-702.980,
2010-08,-672.043,
2010-09,-747.736,
2010-10,-763.457,
2010-11,-781.266,
2010-12,-675.373,
2011-01,-691.632,
2011-02,-860.618,
2011-03,-771.146,
2011-04,-739.734,
2011-05,-617.839,
2011-06,-666.018,
2011-07,-668.142,
2011-08,-804.865,
2011-09,-808.348,
2011-10,-605.334,
2011-11,-867.519,
2011-12,-513.964,
2012-01,-921.855,
2012-02,-825.586,
2012-03,-897.942,
2012-04,-734.387,
2012-05,-771.239,
2012-06,-730.367,
2012-07,-770.130,
2012-08,-958.830,
2012-09,-821.302,
2012-10,-998.085,
2012-11,-904.262,
2012-12,-866.515,
2013-01,-1178.706,
2013-02,-843.130,
2013-03,-1186.787,
2013-04,-899.433,
2013-05,-942.791,
2013-06,-964.510,
2013-07,-1012.379,
2013-08,-695.291,
2013-09,-899.856,
2013-10,-1288.549,
2013-11,-1338.092,
2013-12,-991.101,
2014-01,-1304.880,
2014-02,-1184.935,Provisional value
2014-03,-1180.448,Provisional value
2014-04,-1177.980,Provisional value
2014-05,-1029.046,Provisional value
2014-06,-1016.146,Provisional value
2014-07,-1134.259,Provisional value
2014-08,-974.593,Provisional value
2014-09,-1164.368,
2014-10,-1265.667,
2014-11,-1082.528,
2014-12,-1005.237,Provisional value
