"",BBK01.OELB18M,BBK01.OELB18M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:12,
2002-01,0.964,
2002-04,1.000,
2002-07,1.026,
2002-10,0.974,
2003-01,0.921,
2003-04,0.919,
2003-07,0.905,
2003-10,0.884,
2004-01,0.810,
2004-04,0.801,
2004-07,0.783,
2004-10,0.759,
2005-01,0.703,
2005-04,0.717,
2005-07,0.735,
2005-10,0.710,
2006-01,0.659,
2006-04,0.685,
2006-07,0.689,
2006-10,0.674,
2007-01,0.621,
2007-04,0.647,
2007-07,0.665,
2007-10,0.673,
2008-01,0.651,
2008-04,0.663,
2008-07,0.689,
2008-10,0.674,
2009-01,0.660,
2009-04,0.677,
2009-07,0.679,
2009-10,0.660,
2010-01,0.655,
2010-04,0.691,
2010-07,0.707,
2010-10,0.695,
2011-01,0.681,
2011-04,0.695,
2011-07,0.729,
2011-10,0.707,
2012-01,0.705,
2012-04,0.726,
2012-07,0.750,
2012-10,0.720,
2013-01,0.713,
2013-04,0.724,
2013-07,0.733,
2013-10,0.714,
2014-01,0.716,
2014-04,0.731,
2014-07,0.743,
