"",BBK01.OELJ07U,BBK01.OELJ07U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:02,
2002-01,0.035,
2002-04,0.035,
2002-07,0.035,
2002-10,0.035,
2003-01,0.036,
2003-04,0.037,
2003-07,0.039,
2003-10,0.031,
2004-01,0.035,
2004-04,0.035,
2004-07,0.035,
2004-10,0.034,
2005-01,0.033,
2005-04,0.027,
2005-07,0.027,
2005-10,0.029,
2006-01,0.027,
2006-04,0.027,
2006-07,0.028,
2006-10,0.026,
2007-01,0.024,
2007-04,0.021,
2007-07,0.021,
2007-10,0.020,
2008-01,0.018,
2008-04,0.018,
2008-07,0.020,
2008-10,0.018,
2009-01,0.025,
2009-04,0.030,
2009-07,0.052,
2009-10,0.057,
2010-01,0.066,
2010-04,0.087,
2010-07,0.082,
2010-10,0.078,
2011-01,0.068,
2011-04,0.060,
2011-07,0.057,
2011-10,0.049,
2012-01,0.051,
2012-04,0.066,
2012-07,0.069,
2012-10,0.074,
2013-01,0.087,
2013-04,0.089,
2013-07,0.089,
2013-10,0.087,
2014-01,0.088,
2014-04,0.088,
2014-07,0.090,
