"",BBK01.PQM352,BBK01.PQM352_FLAGS
"",Lending to domestic enterprises and resident individuals / Medium-term / Mortgage banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:20:03,
1958-10,0.078,
1959-01,-,Nothing exists
1959-04,0.089,
1959-07,-,Nothing exists
1959-10,0.088,
1960-01,-,Nothing exists
1960-04,0.085,
1960-07,-,Nothing exists
1960-10,0.101,
1961-01,-,Nothing exists
1961-04,0.114,
1961-07,-,Nothing exists
1961-10,0.141,
1962-01,-,Nothing exists
1962-04,0.131,
1962-07,-,Nothing exists
1962-10,0.154,
1963-01,-,Nothing exists
1963-04,0.164,
1963-07,-,Nothing exists
1963-10,0.186,
1964-01,-,Nothing exists
1964-04,0.182,
1964-07,-,Nothing exists
1964-10,0.180,
1965-01,0.166,
1965-04,0.181,
1965-07,0.223,
1965-10,0.255,
1966-01,0.263,
1966-04,0.289,
1966-07,0.313,
1966-10,0.330,
1967-01,0.344,
1967-04,0.348,
1967-07,0.344,
1967-10,0.351,
1968-01,0.339,
1968-04,0.348,
1968-07,0.307,
1968-10,0.328,
1969-01,0.296,
1969-04,0.277,
1969-07,0.276,
1969-10,0.297,
1970-01,0.312,
1970-04,0.371,
1970-07,0.522,
1970-10,0.660,
1971-01,0.876,
1971-04,0.999,
1971-07,1.297,
1971-10,1.347,
1972-01,1.403,
1972-04,1.467,
1972-07,1.142,
1972-10,1.193,
1973-01,1.265,
1973-04,1.256,
1973-07,1.140,
1973-10,1.284,
1974-01,1.226,
1974-04,1.267,
1974-07,1.396,
1974-10,1.718,
1975-01,1.627,
1975-04,1.547,
1975-07,1.494,
1975-10,1.437,
1976-01,1.489,
1976-04,1.141,
1976-07,1.106,
1976-10,1.045,
1977-01,1.014,
1977-04,1.062,
1977-07,1.002,
1977-10,0.971,
1978-01,0.989,
1978-04,0.925,
1978-07,0.921,
1978-10,0.903,
1979-01,0.960,
1979-04,0.980,
1979-07,0.913,
1979-10,0.896,
1980-01,0.851,
1980-04,0.926,
1980-07,1.216,
1980-10,1.544,
1981-01,1.828,
1981-04,2.255,
1981-07,2.251,
1981-10,2.453,
1982-01,2.665,
1982-04,2.738,
1982-07,2.834,
1982-10,2.876,
1983-01,2.865,
1983-04,2.804,
1983-07,2.921,
1983-10,2.829,
1984-01,2.765,
1984-04,2.677,
1984-07,2.596,
1984-10,2.514,
1985-01,2.324,
1985-04,2.152,
1985-07,2.014,
1985-10,1.997,
1986-01,1.893,
1986-04,1.810,
1986-07,1.700,
1986-10,1.532,
1987-01,1.345,
1987-04,1.257,
1987-07,1.136,
1987-10,1.074,
1988-01,0.965,
1988-04,1.076,
1988-07,0.926,
1988-10,0.837,
1989-01,0.770,
1989-04,0.698,
1989-07,0.647,
1989-10,0.755,
1990-01,0.788,
1990-04,0.824,
1990-07,1.020,
1990-10,1.322,
1991-01,1.582,
1991-04,1.865,
1991-07,2.393,
1991-10,2.973,
1992-01,3.438,
1992-04,4.034,
1992-07,4.358,
1992-10,4.663,
1993-01,4.502,
1993-04,4.424,
1993-07,4.717,
1993-10,4.806,
1994-01,4.741,
1994-04,4.576,
1994-07,4.551,
1994-10,4.107,
1995-01,2.924,
1995-04,3.163,
1995-07,2.950,
1995-10,3.162,
1996-01,3.002,
1996-04,2.813,
1996-07,2.833,
1996-10,2.759,
1997-01,2.584,
1997-04,2.638,
1997-07,2.835,
1997-10,2.989,
1998-01,3.054,
1998-04,3.136,
1998-07,3.320,
1998-10,3.230,
1999-01,4.970,
1999-04,4.475,
1999-07,4.078,
1999-10,4.349,
2000-01,4.948,
2000-04,5.684,
2000-07,5.344,
2000-10,5.606,
2001-01,5.613,
2001-04,5.820,
2001-07,6.122,
2001-10,6.133,
2002-01,6.317,
2002-04,6.337,
2002-07,6.179,
2002-10,8.086,
2003-01,9.072,
2003-04,9.652,
2003-07,10.079,
2003-10,10.368,
2004-01,9.405,
2004-04,9.508,
2004-07,9.344,
2004-10,8.593,
2005-01,8.862,
2005-04,8.520,
2005-07,11.927,
2005-10,12.373,
2006-01,12.801,
2006-04,13.133,
2006-07,12.404,
2006-10,12.370,
2007-01,12.243,
2007-04,12.614,
2007-07,12.300,
2007-10,12.710,
2008-01,12.874,
2008-04,13.146,
2008-07,13.383,
2008-10,14.948,
2009-01,14.420,
2009-04,15.425,
2009-07,15.893,
2009-10,16.373,
2010-01,16.759,
2010-04,16.291,
2010-07,15.904,
2010-10,15.596,
2011-01,16.791,
2011-04,16.803,
2011-07,16.422,
2011-10,15.746,
2012-01,15.087,
2012-04,14.956,
2012-07,14.641,
2012-10,14.032,
2013-01,13.758,
2013-04,13.734,
2013-07,13.079,
2013-10,12.786,
2014-01,13.546,
2014-04,13.922,
2014-07,13.631,
2014-10,13.392,
