"",BBK01.OEAE23H,BBK01.OEAE23H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:12,
2002-01,0.442,
2002-04,0.438,
2002-07,0.439,
2002-10,0.434,
2003-01,0.408,
2003-04,0.425,
2003-07,0.428,
2003-10,0.407,
2004-01,0.396,
2004-04,0.390,
2004-07,0.370,
2004-10,0.361,
2005-01,0.352,
2005-04,0.355,
2005-07,0.366,
2005-10,0.358,
2006-01,0.365,
2006-04,0.376,
2006-07,0.367,
2006-10,0.359,
2007-01,0.349,
2007-04,0.347,
2007-07,0.343,
2007-10,0.331,
2008-01,0.322,
2008-04,0.351,
2008-07,0.353,
2008-10,0.351,
2009-01,0.360,
2009-04,0.361,
2009-07,0.372,
2009-10,0.387,
2010-01,0.410,
2010-04,0.414,
2010-07,0.416,
2010-10,0.415,
2011-01,0.415,
2011-04,0.404,
2011-07,0.539,
2011-10,0.543,
2012-01,0.479,
2012-04,0.480,
2012-07,0.473,
2012-10,0.468,
2013-01,0.469,
2013-04,0.490,
2013-07,0.492,
2013-10,0.489,
2014-01,0.487,
2014-04,0.491,
2014-07,0.485,
