"",BBK01.OECK05N,BBK01.OECK05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:05,
2002-01,0.004,
2002-04,0.003,
2002-07,0.003,
2002-10,0.002,
2003-01,0.002,
2003-04,0.002,
2003-07,0.002,
2003-10,0.002,
2004-01,0.001,
2004-04,0.001,
2004-07,0.002,
2004-10,0.002,
2005-01,0.008,
2005-04,0.007,
2005-07,0.007,
2005-10,0.008,
2006-01,0.010,
2006-04,0.009,
2006-07,0.008,
2006-10,0.010,
2007-01,0.008,
2007-04,0.010,
2007-07,0.009,
2007-10,0.008,
2008-01,0.006,
2008-04,0.005,
2008-07,0.006,
2008-10,0.039,
2009-01,0.054,
2009-04,0.058,
2009-07,0.060,
2009-10,0.066,
2010-01,0.077,
2010-04,0.067,
2010-07,0.054,
2010-10,0.054,
2011-01,0.044,
2011-04,0.033,
2011-07,0.030,
2011-10,0.029,
2012-01,0.021,
2012-04,0.026,
2012-07,0.023,
2012-10,0.022,
2013-01,0.021,
2013-04,0.022,
2013-07,0.022,
2013-10,0.020,
2014-01,0.017,
2014-04,0.011,
2014-07,0.009,
