"",BBFN1.M.DE.N.1.A.IE.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IE.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
2008-07,19.434,
2008-08,18.974,
2008-09,17.966,
2008-10,17.816,
2008-11,17.541,
2008-12,18.747,
2009-01,17.678,
2009-02,17.715,
2009-03,17.872,
2009-04,19.260,
2009-05,18.876,
2009-06,17.122,
2009-07,17.513,
2009-08,17.521,
2009-09,17.646,
2009-10,17.739,
2009-11,17.215,
2009-12,16.700,
2010-01,18.867,
2010-02,19.310,
2010-03,18.039,
2010-04,18.855,
2010-05,19.964,
2010-06,16.966,
2010-07,20.862,
2010-08,21.501,
2010-09,18.971,
2010-10,18.282,
2010-11,18.645,
2010-12,16.657,
2011-01,18.659,
2011-02,17.899,
2011-03,17.373,
2011-04,17.054,
2011-05,18.245,
2011-06,17.716,
2011-07,18.873,
2011-08,17.889,
2011-09,18.070,
2011-10,18.938,
2011-11,18.578,
2011-12,17.972,
2012-01,25.115,
2012-02,25.011,
2012-03,27.107,
2012-04,29.874,
2012-05,32.682,
2012-06,31.102,
2012-07,32.301,
2012-08,32.387,
2012-09,32.825,
2012-10,32.831,
2012-11,30.736,
2012-12,31.479,
2013-01,31.177,
2013-02,30.102,
2013-03,28.997,
2013-04,30.657,
2013-05,31.483,
2013-06,30.516,
2013-07,30.364,
2013-08,30.764,
2013-09,20.506,
2013-10,19.485,
2013-11,18.898,
2013-12,20.573,
2014-01,19.937,
2014-02,19.773,
2014-03,20.123,
2014-04,19.529,
2014-05,19.984,
2014-06,19.970,
2014-07,20.046,
2014-08,20.225,
2014-09,20.062,
2014-10,18.703,
2014-11,19.822,
2014-12,17.885,
