"",BBK01.OEAD34H,BBK01.OEAD34H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:56,
2002-01,1.146,
2002-04,1.126,
2002-07,1.089,
2002-10,1.080,
2003-01,1.033,
2003-04,0.998,
2003-07,0.968,
2003-10,0.939,
2004-01,0.929,
2004-04,0.898,
2004-07,0.918,
2004-10,0.873,
2005-01,0.852,
2005-04,0.821,
2005-07,0.812,
2005-10,0.784,
2006-01,0.767,
2006-04,0.782,
2006-07,0.759,
2006-10,0.737,
2007-01,0.738,
2007-04,0.731,
2007-07,0.733,
2007-10,0.706,
2008-01,0.731,
2008-04,0.703,
2008-07,0.723,
2008-10,0.704,
2009-01,0.733,
2009-04,0.687,
2009-07,0.701,
2009-10,0.690,
2010-01,0.643,
2010-04,0.678,
2010-07,0.697,
2010-10,0.683,
2011-01,0.675,
2011-04,0.673,
2011-07,0.657,
2011-10,0.661,
2012-01,0.642,
2012-04,0.642,
2012-07,0.638,
2012-10,0.634,
2013-01,0.642,
2013-04,0.651,
2013-07,0.638,
2013-10,0.624,
2014-01,0.619,
2014-04,0.607,
2014-07,0.596,
