"",BBK01.OEAC51Q,BBK01.OEAC51Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:07,
2002-01,1.753,
2002-04,1.766,
2002-07,1.659,
2002-10,1.660,
2003-01,1.651,
2003-04,1.721,
2003-07,1.737,
2003-10,1.745,
2004-01,1.733,
2004-04,1.722,
2004-07,1.725,
2004-10,1.722,
2005-01,1.721,
2005-04,1.730,
2005-07,1.753,
2005-10,1.782,
2006-01,1.800,
2006-04,1.832,
2006-07,1.853,
2006-10,1.857,
2007-01,1.884,
2007-04,1.894,
2007-07,1.900,
2007-10,1.906,
2008-01,1.933,
2008-04,1.999,
2008-07,2.064,
2008-10,2.099,
2009-01,2.071,
2009-04,2.144,
2009-07,2.241,
2009-10,2.354,
2010-01,2.405,
2010-04,2.603,
2010-07,2.697,
2010-10,2.746,
2011-01,2.742,
2011-04,2.782,
2011-07,2.840,
2011-10,2.936,
2012-01,2.968,
2012-04,3.024,
2012-07,3.082,
2012-10,3.120,
2013-01,3.139,
2013-04,3.156,
2013-07,3.196,
2013-10,3.219,
2014-01,3.235,
2014-04,3.263,
2014-07,3.276,
