"",BBK01.OEAN04T,BBK01.OEAN04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:18,
2002-01,5.546,
2002-04,5.405,
2002-07,5.410,
2002-10,5.679,
2003-01,5.848,
2003-04,5.997,
2003-07,6.340,
2003-10,6.510,
2004-01,6.619,
2004-04,6.613,
2004-07,6.622,
2004-10,6.827,
2005-01,7.663,
2005-04,7.709,
2005-07,7.767,
2005-10,7.954,
2006-01,7.984,
2006-04,7.937,
2006-07,7.899,
2006-10,7.923,
2007-01,7.896,
2007-04,7.877,
2007-07,7.797,
2007-10,7.865,
2008-01,7.803,
2008-04,7.806,
2008-07,7.693,
2008-10,7.744,
2009-01,7.846,
2009-04,7.766,
2009-07,7.799,
2009-10,7.965,
2010-01,8.163,
2010-04,8.227,
2010-07,8.289,
2010-10,8.514,
2011-01,8.674,
2011-04,8.594,
2011-07,8.454,
2011-10,8.543,
2012-01,8.716,
2012-04,8.682,
2012-07,8.698,
2012-10,8.651,
2013-01,8.685,
2013-04,8.853,
2013-07,8.844,
2013-10,8.849,
2014-01,8.745,
2014-04,8.686,
2014-07,8.650,
