"",BBFB1.Q.N.DE.W00200.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.W00200.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Industrial Countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:21,
1991-01,708.999,
1991-04,1080.435,
1991-07,289.932,
1991-10,1538.878,
1992-01,522.279,
1992-04,-808.653,
1992-07,-508.485,
1992-10,-869.457,
1993-01,616.766,
1993-04,376.214,
1993-07,-16.792,
1993-10,-764.145,
1994-01,714.713,
1994-04,1042.514,
1994-07,1045.365,
1994-10,3185.006,
1995-01,1709.915,
1995-04,641.994,
1995-07,2847.032,
1995-10,2524.481,
1996-01,1423.268,
1996-04,96.281,
1996-07,1287.353,
1996-10,8057.104,
1997-01,9094.040,
1997-04,-994.755,
1997-07,1347.716,
1997-10,6121.726,
1998-01,23529.698,
1998-04,7223.411,
1998-07,-6003.884,
1998-10,50.809,
1999-01,16265.493,
1999-04,18277.736,
1999-07,1703.182,
1999-10,43623.517,
2000-01,171701.898,
2000-04,47322.730,
2000-07,49500.882,
2000-10,-16215.628,
2001-01,24671.247,
2001-04,12426.388,
2001-07,14940.476,
2001-10,9135.572,
2002-01,12217.745,
2002-04,22939.598,
2002-07,8576.345,
2002-10,10657.833,
2003-01,28796.407,
2003-04,15398.837,
2003-07,20952.393,
2003-10,-1518.843,
2004-01,-21118.459,
2004-04,1171.013,
2004-07,-2762.111,
2004-10,5926.869,
2005-01,7397.589,
2005-04,4645.883,
2005-07,2037.955,
2005-10,36219.724,
2006-01,12300.593,
2006-04,9898.034,
2006-07,7577.410,
2006-10,18788.087,
2007-01,17597.141,
2007-04,9966.269,
2007-07,9065.866,
2007-10,-4202.946,
2008-01,985.108,
2008-04,9826.009,
2008-07,9026.649,
2008-10,1074.681,
2009-01,10652.779,
2009-04,5559.490,
2009-07,3759.425,
2009-10,20020.578,
2010-01,7049.731,
2010-04,-134.231,
2010-07,21110.157,
2010-10,25696.146,
2011-01,5272.813,
2011-04,20949.473,
2011-07,18761.296,
2011-10,16370.555,
2012-01,9125.164,
2012-04,6770.217,
2012-07,-172.124,
2012-10,20844.934,
2013-01,5997.878,
2013-04,17751.476,
2013-07,3286.741,
2013-10,8908.500,
2014-01,2403.523,Provisional value
2014-04,6789.774,Provisional value
2014-07,-7102.133,Provisional value
2014-10,-10751.600,Provisional value
