"",BBEX3.M.SEK.USD.CA.AC.A01,BBEX3.M.SEK.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Sweden / USD 1 = SEK ... (middle),
unit,SEK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:51,
1989-01,6.32500,
1989-02,6.29250,
1989-03,6.42250,
1989-04,6.37000,
1989-05,6.69250,
1989-06,6.64750,
1989-07,6.39000,
1989-08,6.61250,
1989-09,6.40500,
1989-10,6.41250,
1989-11,6.39750,
1989-12,6.21750,
1990-01,6.15250,
1990-02,6.11750,
1990-03,6.12500,
1990-04,6.10500,
1990-05,6.10250,
1990-06,6.05000,
1990-07,5.85750,
1990-08,5.75750,
1990-09,5.76500,
1990-10,5.63750,
1990-11,5.63750,
1990-12,5.70000,
1991-01,5.55750,
1991-02,5.64250,
1991-03,6.19000,
1991-04,6.20250,
1991-05,6.17750,
1991-06,6.53250,
1991-07,6.33000,
1991-08,6.33000,
1991-09,6.06000,
1991-10,6.10500,
1991-11,5.96500,
1991-12,5.55250,
1992-01,5.86250,
1992-02,5.92750,
1992-03,5.98250,
1992-04,5.99250,
1992-05,5.80000,
1992-06,5.51500,
1992-07,5.36750,
1992-08,5.15750,
1992-09,5.31250,
1992-10,5.79000,
1992-11,6.88500,comment
1992-12,7.05000,
1993-01,7.21000,
1993-02,7.78500,
1993-03,7.74500,
1993-04,7.30500,
1993-05,7.26250,
1993-06,7.71500,
1993-07,8.29000,
1993-08,8.11250,
1993-09,8.04750,
1993-10,8.12500,
1993-11,8.47250,
1993-12,8.33250,
1994-01,7.96750,
1994-02,8.01250,
1994-03,7.83500,
1994-04,7.72500,
1994-05,7.79500,
1994-06,7.65750,
1994-07,7.78250,
1994-08,7.74500,
1994-09,7.50500,
1994-10,7.21000,
1994-11,7.55250,
1994-12,7.46250,
1995-01,7.42500,
1995-02,7.37000,
1995-03,7.46250,
1995-04,7.22750,
1995-05,7.24250,
1995-06,7.26000,
1995-07,7.05750,
1995-08,7.30250,
1995-09,6.94750,
1995-10,6.65000,
1995-11,6.52750,
1995-12,6.67250,
1996-01,6.93750,
1996-02,6.72750,
1996-03,6.68250,
1996-04,6.79250,
1996-05,6.76250,
1996-06,6.63500,
1996-07,6.60500,
1996-08,6.61000,
1996-09,6.63250,
1996-10,6.56000,
1996-11,6.70000,
1996-12,6.87000,
1997-01,7.24250,
1997-02,7.51250,
1997-03,7.59250,
1997-04,7.81250,
1997-05,7.72750,
1997-06,7.71500,
1997-07,7.95000,
1997-08,7.80750,
1997-09,7.59000,
1997-10,7.51750,
1997-11,7.75750,
1997-12,7.87000,
1998-01,8.13000,
1998-02,8.01250,
1998-03,7.98250,
1998-04,7.73500,
1998-05,7.83250,
1998-06,7.96250,
1998-07,7.95000,
1998-08,8.07500,
1998-09,7.86250,
1998-10,7.82500,
1998-11,8.16750,
1998-12,8.06500,
1999-01,7.77500,
1999-02,8.19250,
1999-03,8.30250,
1999-04,8.39250,
1999-05,8.58000,
1999-06,8.45750,
1999-07,8.21500,
1999-08,8.29000,
1999-09,8.19750,
1999-10,8.23250,
1999-11,8.51250,
1999-12,8.52500,
2000-01,8.76250,
2000-02,8.71750,
2000-03,8.67250,
2000-04,8.93000,
2000-05,8.99750,
2000-06,8.81500,
2000-07,9.18000,
2000-08,9.44250,
2000-09,9.68500,
2000-10,10.08500,
2000-11,10.07750,
2000-12,9.53500,
2001-01,9.50000,
2001-02,9.84750,
2001-03,10.39000,
2001-04,10.19750,
2001-05,10.73000,
2001-06,10.84750,
