"",BBK01.OEYB03K,BBK01.OEYB03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:56,
2002-01,8.182,
2002-04,8.165,
2002-07,8.302,
2002-10,10.911,
2003-01,11.275,
2003-04,11.770,
2003-07,12.253,
2003-10,11.857,
2004-01,10.422,
2004-04,13.475,
2004-07,13.331,
2004-10,9.829,
2005-01,10.394,
2005-04,9.760,
2005-07,10.461,
2005-10,10.419,
2006-01,9.923,
2006-04,9.707,
2006-07,10.292,
2006-10,10.284,
2007-01,9.337,
2007-04,11.129,
2007-07,11.664,
2007-10,12.466,
2008-01,13.163,
2008-04,14.499,
2008-07,16.834,
2008-10,18.251,
2009-01,18.947,
2009-04,18.364,
2009-07,17.405,
2009-10,15.012,
2010-01,13.750,
2010-04,13.657,
2010-07,13.474,
2010-10,13.675,
2011-01,12.622,
2011-04,11.456,
2011-07,13.399,
2011-10,12.884,
2012-01,11.940,
2012-04,11.550,
2012-07,12.432,
2012-10,11.047,
2013-01,11.088,
2013-04,11.068,
2013-07,10.857,
2013-10,9.826,
2014-01,10.412,
2014-04,10.501,
2014-07,10.846,
