"",BBK01.OEHI06M,BBK01.OEHI06M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:58,
2002-01,4.938,
2002-04,4.956,
2002-07,4.896,
2002-10,4.821,
2003-01,4.734,
2003-04,4.657,
2003-07,4.661,
2003-10,4.561,
2004-01,4.535,
2004-04,4.538,
2004-07,4.555,
2004-10,4.528,
2005-01,4.428,
2005-04,4.403,
2005-07,4.375,
2005-10,4.373,
2006-01,4.458,
2006-04,4.561,
2006-07,4.745,
2006-10,5.077,
2007-01,5.551,
2007-04,5.818,
2007-07,6.135,
2007-10,6.431,
2008-01,6.696,
2008-04,6.787,
2008-07,6.949,
2008-10,7.290,
2009-01,6.868,
2009-04,6.313,
2009-07,6.064,
2009-10,5.856,
2010-01,5.914,
2010-04,5.923,
2010-07,5.846,
2010-10,5.825,
2011-01,5.815,
2011-04,5.930,
2011-07,5.946,
2011-10,5.907,
2012-01,5.772,
2012-04,5.759,
2012-07,5.557,
2012-10,5.350,
2013-01,4.887,
2013-04,4.586,
2013-07,4.325,
2013-10,4.144,
2014-01,3.929,
2014-04,3.795,
2014-07,3.640,
