"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.ES.00013.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.ES.00013.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Spain / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:07,
2009-09,773,
2009-10,830,
2009-11,841,
2009-12,766,
2010-01,779,
2010-02,880,
2010-03,783,
2010-04,639,
2010-05,710,
2010-06,890,
2010-07,1172,
2010-08,1113,
2010-09,1251,
2010-10,1365,
2010-11,1145,
2010-12,1161,
2011-01,1393,
2011-02,1464,
2011-03,1483,
2011-04,1563,
2011-05,1303,
2011-06,1375,
2011-07,1441,
2011-08,1431,
2011-09,1405,
2011-10,1422,
2011-11,1237,
2011-12,1259,
2012-01,1160,
2012-02,1113,
2012-03,1016,
2012-04,960,
2012-05,878,
2012-06,1080,
2012-07,1103,
2012-08,1478,
2012-09,1815,
2012-10,2143,
2012-11,2643,
2012-12,2906,
2013-01,3337,
2013-02,3342,
2013-03,3189,
2013-04,3345,
2013-05,3059,
2013-06,2964,
2013-07,2981,
2013-08,3048,
2013-09,3304,
2013-10,3361,
2013-11,3603,
2013-12,3844,
2014-01,4007,
2014-02,4072,
2014-03,4127,
2014-04,4155,
2014-05,4067,
2014-06,4031,
2014-07,4273,
2014-08,4336,
2014-09,4379,
2014-10,4340,
2014-11,4647,
