"",BBSF2.M.1.S.I0122.DAC01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0122.DAC01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Net asset value / Domestic credit institutions / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:14,
1999-01,-,Nothing exists
1999-02,-,Nothing exists
1999-03,-,Nothing exists
1999-04,-,Nothing exists
1999-05,-,Nothing exists
1999-06,-,Nothing exists
1999-07,-,Nothing exists
1999-08,-,Nothing exists
1999-09,-,Nothing exists
1999-10,-,Nothing exists
1999-11,6,
1999-12,127,
2000-01,151,
2000-02,172,
2000-03,212,
2000-04,226,
2000-05,226,
2000-06,240,
2000-07,275,
2000-08,293,
2000-09,316,
2000-10,337,
2000-11,338,
2000-12,379,
2001-01,445,
2001-02,480,
2001-03,356,
2001-04,387,
2001-05,400,
2001-06,417,
2001-07,438,
2001-08,465,
2001-09,489,
2001-10,451,
2001-11,482,
2001-12,475,
2002-01,499,
2002-02,510,
2002-03,516,
2002-04,665,
2002-05,685,
2002-06,680,
2002-07,681,
2002-08,688,
2002-09,676,
2002-10,741,
2002-11,739,
2002-12,742,
2003-01,738,
2003-02,878,
2003-03,914,
2003-04,930,
2003-05,979,
2003-06,1038,
2003-07,1116,
2003-08,1126,
2003-09,1158,
2003-10,1244,
2003-11,1245,
2003-12,1278,
2004-01,1314,
2004-02,1338,
2004-03,1362,
2004-04,1370,
2004-05,1367,
2004-06,1373,
2004-07,1367,
2004-08,1408,
2004-09,1372,
2004-10,1378,
2004-11,1470,
2004-12,1488,
2005-01,1487,
2005-02,1529,
2005-03,1558,
2005-04,1566,
2005-05,1584,
2005-06,1590,
2005-07,1564,
2005-08,1517,
2005-09,1639,
2005-10,1567,
2005-11,1614,
2005-12,1626,
2006-01,1652,
2006-02,1627,
2006-03,1824,
2006-04,1879,
2006-05,1924,
2006-06,1840,
2006-07,1842,
2006-08,1865,
2006-09,1890,
2006-10,1922,
2006-11,1966,
2006-12,1952,
2007-01,1998,
2007-02,2009,
2007-03,2084,
2007-04,2121,
2007-05,2172,
2007-06,2107,
2007-07,2163,
2007-08,2139,
2007-09,2133,
2007-10,2176,
2007-11,2117,
2007-12,2159,
2008-01,2038,
2008-02,2085,
2008-03,2072,
2008-04,2077,
2008-05,2078,
2008-06,2061,
2008-07,1977,
2008-08,1950,
2008-09,1916,
2008-10,1854,
2008-11,1848,
2008-12,1757,
2009-01,1765,
2009-02,1732,
2009-03,1738,
2009-04,1760,
2009-05,1689,
2009-06,1699,
2009-07,1731,
2009-08,1754,
2009-09,1882,
2009-10,1875,
2009-11,1876,
2009-12,1892,
2010-01,1910,
2010-02,1928,
2010-03,1942,
2010-04,1945,
2010-05,1926,
2010-06,1891,
2010-07,1892,
2010-08,1915,
2010-09,1920,
2010-10,1933,
2010-11,1929,
2010-12,1911,
2011-01,1836,
2011-02,1843,
2011-03,1901,
2011-04,1917,
2011-05,1925,
2011-06,1909,
2011-07,1916,
2011-08,1896,
2011-09,1873,
2011-10,1894,
2011-11,1869,
2011-12,1883,
2012-01,1877,
2012-02,1873,
2012-03,2013,
2012-04,2010,
2012-05,1971,
2012-06,1976,
2012-07,2027,
2012-08,2039,
2012-09,2049,
2012-10,2054,
2012-11,2064,
2012-12,2062,
2013-01,2059,
2013-02,2093,
2013-03,2100,
2013-04,2122,
2013-05,2116,
2013-06,2093,
2013-07,2112,
2013-08,2161,
2013-09,2204,
2013-10,2259,
2013-11,2315,
2013-12,2345,
2014-01,2372,
2014-02,2431,
2014-03,2461,
2014-04,2475,
2014-05,2496,
2014-06,2509,
2014-07,2521,
2014-08,2311,
2014-09,2307,
2014-10,2178,
2014-11,2189,
