"",BBK01.OEAH36V,BBK01.OEAH36V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:59,
2002-01,0.519,
2002-04,0.511,
2002-07,0.504,
2002-10,0.481,
2003-01,0.473,
2003-04,0.462,
2003-07,0.444,
2003-10,0.482,
2004-01,0.473,
2004-04,0.485,
2004-07,0.468,
2004-10,0.467,
2005-01,0.458,
2005-04,0.437,
2005-07,0.406,
2005-10,0.397,
2006-01,0.394,
2006-04,0.372,
2006-07,0.371,
2006-10,0.350,
2007-01,0.344,
2007-04,0.346,
2007-07,0.343,
2007-10,0.324,
2008-01,0.304,
2008-04,0.300,
2008-07,0.300,
2008-10,0.341,
2009-01,0.325,
2009-04,0.334,
2009-07,0.334,
2009-10,0.368,
2010-01,0.347,
2010-04,0.349,
2010-07,0.385,
2010-10,0.375,
2011-01,0.372,
2011-04,0.375,
2011-07,0.376,
2011-10,0.376,
2012-01,0.372,
2012-04,0.370,
2012-07,0.369,
2012-10,0.360,
2013-01,0.356,
2013-04,0.364,
2013-07,0.370,
2013-10,0.379,
2014-01,0.453,
2014-04,0.571,
2014-07,0.625,
