"",BBK01.OEAD12O,BBK01.OEAD12O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:43,
2002-01,0.200,
2002-04,0.228,
2002-07,0.176,
2002-10,0.207,
2003-01,0.258,
2003-04,0.250,
2003-07,0.180,
2003-10,0.200,
2004-01,0.153,
2004-04,0.098,
2004-07,0.082,
2004-10,0.182,
2005-01,0.176,
2005-04,0.150,
2005-07,0.103,
2005-10,0.182,
2006-01,0.132,
2006-04,0.275,
2006-07,0.274,
2006-10,0.144,
2007-01,0.209,
2007-04,0.180,
2007-07,0.182,
2007-10,0.203,
2008-01,0.258,
2008-04,0.260,
2008-07,0.265,
2008-10,0.154,
2009-01,0.151,
2009-04,0.154,
2009-07,0.171,
2009-10,0.182,
2010-01,0.101,
2010-04,0.279,
2010-07,0.201,
2010-10,0.138,
2011-01,0.129,
2011-04,0.288,
2011-07,0.130,
2011-10,0.100,
2012-01,0.144,
2012-04,0.179,
2012-07,0.153,
2012-10,0.152,
2013-01,0.173,
2013-04,0.153,
2013-07,0.148,
2013-10,0.200,
2014-01,0.174,
2014-04,0.148,
2014-07,0.142,
