"",BBK01.OEYK04L,BBK01.OEYK04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:12:07,
2002-01,0.021,
2002-04,0.033,
2002-07,0.034,
2002-10,0.033,
2003-01,0.074,
2003-04,0.062,
2003-07,0.063,
2003-10,0.072,
2004-01,0.083,
2004-04,0.084,
2004-07,0.068,
2004-10,0.094,
2005-01,0.102,
2005-04,0.098,
2005-07,0.097,
2005-10,0.061,
2006-01,0.064,
2006-04,0.114,
2006-07,0.133,
2006-10,0.093,
2007-01,0.079,
2007-04,0.092,
2007-07,0.048,
2007-10,0.034,
2008-01,0.046,
2008-04,0.046,
2008-07,0.066,
2008-10,0.053,
2009-01,0.061,
2009-04,0.063,
2009-07,0.054,
2009-10,0.051,
2010-01,0.043,
2010-04,0.041,
2010-07,0.024,
2010-10,0.047,
2011-01,0.047,
2011-04,0.032,
2011-07,0.032,
2011-10,0.018,
2012-01,0.018,
2012-04,0.009,
2012-07,0.018,
2012-10,0.017,
2013-01,0.016,
2013-04,0.015,
2013-07,0.005,
2013-10,0.004,
2014-01,0.003,
2014-04,0.003,
2014-07,0.003,
