"",BBK01.OEAH88N,BBK01.OEAH88N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:43,
2002-01,5.384,
2002-04,5.736,
2002-07,5.311,
2002-10,6.153,
2003-01,5.749,
2003-04,5.320,
2003-07,4.704,
2003-10,4.898,
2004-01,5.488,
2004-04,4.963,
2004-07,4.681,
2004-10,5.129,
2005-01,3.823,
2005-04,3.710,
2005-07,5.305,
2005-10,6.224,
2006-01,5.440,
2006-04,6.602,
2006-07,9.797,
2006-10,10.995,
2007-01,6.808,
2007-04,5.525,
2007-07,9.989,
2007-10,11.780,
2008-01,15.255,
2008-04,18.060,
2008-07,17.956,
2008-10,19.344,
2009-01,16.136,
2009-04,12.265,
2009-07,15.333,
2009-10,14.459,
2010-01,15.384,
2010-04,12.701,
2010-07,12.775,
2010-10,11.619,
2011-01,7.341,
2011-04,5.416,
2011-07,5.948,
2011-10,6.171,
2012-01,6.302,
2012-04,2.754,
2012-07,2.173,
2012-10,2.255,
2013-01,2.540,
2013-04,1.900,
2013-07,2.329,
2013-10,1.632,
2014-01,3.592,
2014-04,1.688,
2014-07,1.712,
