"",BBFB1.Q.N.DE.PL.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.PL.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Poland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:25,
1991-01,203.794,
1991-04,29.021,
1991-07,55.831,
1991-10,-248.312,
1992-01,60.733,
1992-04,-3.765,
1992-07,102.423,
1992-10,-27.169,
1993-01,-37.731,
1993-04,-13.447,
1993-07,-35.565,
1993-10,-58.758,
1994-01,86.697,
1994-04,-127.337,
1994-07,-65.390,
1994-10,-1477.018,
1995-01,30.615,
1995-04,-1064.683,
1995-07,26.225,
1995-10,89.554,
1996-01,115.061,
1996-04,202.240,
1996-07,-105.046,
1996-10,209.647,
1997-01,194.308,
1997-04,121.809,
1997-07,183.614,
1997-10,-8.712,
1998-01,210.258,
1998-04,262.905,
1998-07,220.616,
1998-10,270.286,
1999-01,104.896,
1999-04,176.073,
1999-07,351.041,
1999-10,28.437,
2000-01,11.598,
2000-04,498.780,
2000-07,135.907,
2000-10,-41.885,
2001-01,-44.737,
2001-04,330.419,
2001-07,516.533,
2001-10,-524.150,
2002-01,352.023,
2002-04,66.499,
2002-07,83.468,
2002-10,-123.992,
2003-01,179.721,
2003-04,113.162,
2003-07,-207.881,
2003-10,-359.261,
2004-01,150.510,
2004-04,442.743,
2004-07,-93.630,
2004-10,180.785,
2005-01,394.433,
2005-04,-891.627,
2005-07,425.460,
2005-10,177.408,
2006-01,-59.993,
2006-04,769.165,
2006-07,564.443,
2006-10,1048.912,
2007-01,1075.204,
2007-04,493.250,
2007-07,691.293,
2007-10,254.569,
2008-01,947.788,
2008-04,1664.226,
2008-07,834.340,
2008-10,1330.279,
2009-01,-192.077,
2009-04,553.902,
2009-07,791.496,
2009-10,806.513,
2010-01,565.428,
2010-04,36.737,
2010-07,1210.344,
2010-10,644.393,
2011-01,25.755,
2011-04,-401.606,
2011-07,-258.990,
2011-10,-642.218,
2012-01,390.965,
2012-04,-252.006,
2012-07,-278.551,
2012-10,-775.199,
2013-01,310.162,
2013-04,94.095,
2013-07,362.256,
2013-10,-1505.135,
2014-01,-417.771,Provisional value
2014-04,257.629,Provisional value
2014-07,-878.004,Provisional value
2014-10,-592.896,Provisional value
