"",BBFB1.Q.N.DE.I7.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.I7.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Euro area 18 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:47,
1991-01,-955.891,
1991-04,-2793.753,
1991-07,-2891.745,
1991-10,10655.396,
1992-01,-4479.633,
1992-04,-5454.664,
1992-07,-3588.440,
1992-10,5238.523,
1993-01,14756.403,
1993-04,6696.872,
1993-07,1333.804,
1993-10,22283.348,
1994-01,-8717.634,
1994-04,-8369.841,
1994-07,5733.454,
1994-10,11359.782,
1995-01,6068.552,
1995-04,5240.076,
1995-07,-7238.303,
1995-10,4714.642,
1996-01,1678.921,
1996-04,-1188.802,
1996-07,-4233.473,
1996-10,15521.920,
1997-01,4338.770,
1997-04,-442.268,
1997-07,-4591.877,
1997-10,13826.522,
1998-01,9305.862,
1998-04,14639.538,
1998-07,4988.375,
1998-10,18509.016,
1999-01,23302.853,
1999-04,-1374.516,
1999-07,26033.746,
1999-10,11225.469,
2000-01,-4853.697,
2000-04,23510.242,
2000-07,14420.329,
2000-10,-12800.545,
2001-01,45064.551,
2001-04,-15997.184,
2001-07,8613.370,
2001-10,-13473.795,
2002-01,18881.173,
2002-04,34320.240,
2002-07,28666.056,
2002-10,9766.506,
2003-01,23712.545,
2003-04,-930.866,
2003-07,13854.053,
2003-10,-2081.401,
2004-01,12352.708,
2004-04,-16552.530,
2004-07,35867.979,
2004-10,18775.092,
2005-01,16434.563,
2005-04,27340.098,
2005-07,20274.705,
2005-10,28410.305,
2006-01,20468.445,
2006-04,-1755.023,
2006-07,27119.879,
2006-10,-3375.102,
2007-01,29033.682,
2007-04,74725.255,
2007-07,40268.373,
2007-10,45604.809,
2008-01,67730.774,
2008-04,21559.311,
2008-07,15681.843,
2008-10,23791.495,
2009-01,34250.399,
2009-04,18701.315,
2009-07,-5227.164,
2009-10,17971.230,
2010-01,20652.758,
2010-04,74845.450,
2010-07,82892.407,
2010-10,-51462.190,
2011-01,15662.727,
2011-04,31347.928,
2011-07,149173.164,
2011-10,-47090.108,
2012-01,169768.393,
2012-04,105832.130,
2012-07,-38525.512,
2012-10,-57552.378,
2013-01,-40662.121,
2013-04,15721.580,
2013-07,-27601.801,
2013-10,-87589.825,
2014-01,-28252.454,Provisional value
2014-04,9585.646,Provisional value
2014-07,25666.084,Provisional value
2014-10,-48570.264,Provisional value
