"",BBK01.OELL01L,BBK01.OELL01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:40,
2002-01,30.945,
2002-04,30.827,
2002-07,30.618,
2002-10,31.340,
2003-01,31.341,
2003-04,31.150,
2003-07,31.002,
2003-10,31.511,
2004-01,31.604,
2004-04,31.668,
2004-07,31.490,
2004-10,32.013,
2005-01,31.947,
2005-04,32.030,
2005-07,31.647,
2005-10,32.124,
2006-01,32.093,
2006-04,32.226,
2006-07,31.996,
2006-10,32.095,
2007-01,32.018,
2007-04,31.994,
2007-07,32.046,
2007-10,32.641,
2008-01,32.547,
2008-04,32.179,
2008-07,31.369,
2008-10,32.829,
2009-01,32.829,
2009-04,33.103,
2009-07,33.055,
2009-10,33.762,
2010-01,34.122,
2010-04,34.522,
2010-07,34.443,
2010-10,34.930,
2011-01,34.698,
2011-04,35.081,
2011-07,34.959,
2011-10,35.301,
2012-01,35.190,
2012-04,35.156,
2012-07,35.200,
2012-10,35.591,
2013-01,35.656,
2013-04,35.759,
2013-07,35.742,
2013-10,36.316,
2014-01,36.340,
2014-04,36.685,
2014-07,36.667,
