"",BBK01.CELNN0,BBK01.CELNN0_FLAGS
"",Transferable deposits                                                     debtor: Rest of the world                   creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:51:08,
1999-01,47.1,
1999-04,-6.8,
1999-07,-13.7,
1999-10,-24.8,
2000-01,21.5,
2000-04,4.8,
2000-07,-10.9,
2000-10,-0.2,
2001-01,28.2,
2001-04,18.6,
2001-07,0.2,
2001-10,-21.7,
2002-01,-7.4,
2002-04,29.3,
2002-07,3.7,
2002-10,5.0,
2003-01,19.0,
2003-04,20.5,
2003-07,2.2,
2003-10,-28.8,
2004-01,15.6,
2004-04,-2.2,
2004-07,17.6,
2004-10,-52.8,
2005-01,59.5,
2005-04,21.0,
2005-07,-20.9,
2005-10,-52.9,
2006-01,55.9,
2006-04,-6.4,
2006-07,-10.8,
2006-10,11.4,
2007-01,22.1,
2007-04,22.5,
2007-07,3.6,
2007-10,-47.5,
2008-01,49.1,
2008-04,-7.7,
2008-07,8.6,
2008-10,2.8,
2009-01,-10.7,
2009-04,-1.5,
2009-07,-2.0,
2009-10,-15.7,
2010-01,24.0,
2010-04,16.1,
2010-07,11.0,
2010-10,-12.8,
2011-01,13.9,
2011-04,15.5,
2011-07,25.8,
2011-10,-57.7,
2012-01,41.1,
2012-04,11.0,
2012-07,35.2,
2012-10,-40.6,
2013-01,18.4,
2013-04,15.2,
2013-07,-14.9,
2013-10,-8.7,
2014-01,12.3,
2014-04,22.1,
2014-07,7.2,
