"",BBFB1.M.N.DE.W1.S1.S1.T.D.D41.P.F3.S._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.D41.P.F3.S._T._X.N_FLAGS
2013-11,56.002,
2013-12,51.003,
2014-01,52.799,
2014-02,59.396,Provisional value
2014-03,61.906,Provisional value
2014-04,62.115,Provisional value
2014-05,62.301,Provisional value
2014-06,62.774,Provisional value
2014-07,59.415,Provisional value
2014-08,56.429,Provisional value
2014-09,51.398,
2014-10,43.558,
2014-11,36.528,
2014-12,30.184,Provisional value
