"",BBK01.TQ7129D,BBK01.TQ7129D_FLAGS
"","Deposit takers - Geographical distribution of loans - Advanced economies, excluding China                FSI-S290",
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-23 10:06:20,
2005-10,1086083,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,1257298,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,1391093,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,1443308,
2009-01,.,No value available
2009-04,.,No value available
2009-07,.,No value available
2009-10,1260510,
2010-01,.,No value available
2010-04,.,No value available
2010-07,.,Missing value; data cannot exist
2010-10,1169674,
2011-01,.,No value available
2011-04,.,No value available
2011-07,.,No value available
2011-10,1137185,
2012-01,.,No value available
2012-04,.,No value available
2012-07,.,No value available
2012-10,1043345,
2013-01,1048953,
2013-04,1042129,
2013-07,1003381,
2013-10,989992,
2014-01,1013811,
2014-04,1037953,
2014-07,1047114,
