"",BBK01.OEAL09P,BBK01.OEAL09P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:49,
2002-01,1.288,
2002-04,1.285,
2002-07,1.298,
2002-10,1.359,
2003-01,1.326,
2003-04,1.258,
2003-07,1.255,
2003-10,1.188,
2004-01,1.129,
2004-04,1.017,
2004-07,0.980,
2004-10,1.070,
2005-01,1.098,
2005-04,1.038,
2005-07,1.024,
2005-10,1.060,
2006-01,1.110,
2006-04,1.097,
2006-07,1.122,
2006-10,1.108,
2007-01,1.133,
2007-04,1.141,
2007-07,1.202,
2007-10,1.271,
2008-01,1.309,
2008-04,1.293,
2008-07,1.271,
2008-10,1.406,
2009-01,1.401,
2009-04,1.487,
2009-07,1.532,
2009-10,1.634,
2010-01,1.590,
2010-04,1.528,
2010-07,1.446,
2010-10,1.403,
2011-01,1.308,
2011-04,1.214,
2011-07,1.172,
2011-10,1.097,
2012-01,1.039,
2012-04,0.977,
2012-07,0.904,
2012-10,0.794,
2013-01,0.750,
2013-04,0.671,
2013-07,0.613,
2013-10,0.602,
2014-01,0.549,
2014-04,0.560,
2014-07,0.593,
