"",BBK01.SUD119S,BBK01.SUD119S_FLAGS
"",Effective interest rates of German banks / New business (estimated) / Housing loans to households with an initial rate fixation of over 10 years,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2014-01-30 11:40:00,
2000-01,6.7115,Estimated value
2000-02,6.7817,Estimated value
2000-03,6.6613,Estimated value
2000-04,6.5610,Estimated value
2000-05,6.7516,Estimated value
2000-06,6.6613,Estimated value
2000-07,6.7215,Estimated value
2000-08,6.7115,Estimated value
2000-09,6.7416,Estimated value
2000-10,6.7014,Estimated value
2000-11,6.6613,Estimated value
2000-12,6.4607,Estimated value
2001-01,6.2400,Estimated value
2001-02,6.1898,Estimated value
2001-03,6.1396,Estimated value
2001-04,6.1296,Estimated value
2001-05,6.2199,Estimated value
2001-06,6.2400,Estimated value
2001-07,6.2600,Estimated value
2001-08,6.1497,Estimated value
2001-09,6.0995,Estimated value
2001-10,5.9290,Estimated value
2001-11,5.7183,Estimated value
2001-12,5.8888,Estimated value
2002-01,5.9691,Estimated value
2002-02,6.0694,Estimated value
2002-03,6.2801,Estimated value
2002-04,6.3202,Estimated value
2002-05,6.3202,Estimated value
2002-06,6.2299,Estimated value
2002-07,6.1196,Estimated value
2002-08,5.8587,Estimated value
2002-09,5.7083,Estimated value
2002-10,5.6882,Estimated value
2002-11,5.6380,Estimated value
2002-12,5.5377,Estimated value
