"",BBFB1.Q.N.DE.W03100.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.W03100.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Emerging market economies and developing countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:30,
1991-01,1629.289,
1991-04,88.181,
1991-07,1636.640,
1991-10,3391.331,
1992-01,4676.097,
1992-04,1363.600,
1992-07,1448.979,
1992-10,6033.022,
1993-01,-31.784,
1993-04,1810.824,
1993-07,2697.561,
1993-10,8269.277,
1994-01,-1783.901,
1994-04,4216.541,
1994-07,281.739,
1994-10,1436.288,
1995-01,2037.960,
1995-04,3992.375,
1995-07,4114.632,
1995-10,2083.979,
1996-01,2356.610,
1996-04,2917.357,
1996-07,-764.594,
1996-10,4984.047,
1997-01,3117.692,
1997-04,4404.272,
1997-07,3198.978,
1997-10,-1580.687,
1998-01,1051.153,
1998-04,-1294.474,
1998-07,-536.073,
1998-10,6279.563,
1999-01,-4261.000,
1999-04,-454.556,
1999-07,3752.909,
1999-10,6234.751,
2000-01,-1476.620,
2000-04,3385.331,
2000-07,1217.424,
2000-10,2726.038,
2001-01,285.998,
2001-04,1059.253,
2001-07,1194.869,
2001-10,4201.010,
2002-01,680.632,
2002-04,8966.067,
2002-07,9516.867,
2002-10,-7643.056,
2003-01,2423.473,
2003-04,1182.610,
2003-07,-5372.873,
2003-10,317.625,
2004-01,-428.211,
2004-04,-3477.751,
2004-07,322.279,
2004-10,5642.618,
2005-01,817.739,
2005-04,22441.778,
2005-07,-4413.738,
2005-10,12505.140,
2006-01,-12718.011,
2006-04,18932.039,
2006-07,787.504,
2006-10,4948.009,
2007-01,9902.397,
2007-04,6303.567,
2007-07,41114.917,
2007-10,8696.083,
2008-01,-6710.547,
2008-04,10811.274,
2008-07,17509.987,
2008-10,-13554.566,
2009-01,-18565.220,
2009-04,1942.321,
2009-07,-3697.192,
2009-10,7176.926,
2010-01,-11467.124,
2010-04,-10730.748,
2010-07,1543.132,
2010-10,8048.822,
2011-01,-6602.685,
2011-04,384.868,
2011-07,5827.344,
2011-10,-3241.488,
2012-01,2580.958,
2012-04,-5839.850,
2012-07,3194.063,
2012-10,20924.514,
2013-01,1624.706,
2013-04,-3245.918,
2013-07,-9568.712,
2013-10,7605.406,
2014-01,8423.089,Provisional value
2014-04,25318.384,Provisional value
2014-07,13715.126,Provisional value
2014-10,40975.669,Provisional value
