"",BBK01.CEFMC0,BBK01.CEFMC0_FLAGS
"",Currency                                                           debtor: General government                        creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:40,
1999-01,8.8,
1999-04,8.9,
1999-07,8.9,
1999-10,8.9,
2000-01,8.9,
2000-04,9.0,
2000-07,9.0,
2000-10,9.0,
2001-01,8.8,
2001-04,8.6,
2001-07,8.2,
2001-10,7.2,
2002-01,3.3,
2002-04,3.5,
2002-07,3.8,
2002-10,4.2,
2003-01,4.2,
2003-04,4.6,
2003-07,4.7,
2003-10,5.0,
2004-01,5.0,
2004-04,5.3,
2004-07,5.3,
2004-10,5.5,
2005-01,5.5,
2005-04,5.7,
2005-07,5.8,
2005-10,5.9,
2006-01,6.0,
2006-04,6.2,
2006-07,6.2,
2006-10,6.4,
2007-01,6.5,
2007-04,6.7,
2007-07,6.7,
2007-10,6.9,
2008-01,6.9,
2008-04,7.1,
2008-07,7.1,
2008-10,7.4,
2009-01,7.3,
2009-04,7.5,
2009-07,7.6,
2009-10,7.8,
2010-01,7.8,
2010-04,8.0,
2010-07,8.1,
2010-10,8.3,
2011-01,8.3,
2011-04,8.5,
2011-07,8.6,
2011-10,8.8,
2012-01,8.7,
2012-04,8.9,
2012-07,9.0,
2012-10,9.2,
2013-01,9.2,
2013-04,9.3,
2013-07,9.4,
2013-10,9.6,
2014-01,9.5,
2014-04,9.7,
2014-07,9.8,
