"",BBK01.SUD105S,BBK01.SUD105S_FLAGS
"",Effective interest rates of German banks / New business (estimated) / Households' deposits redeemable at notice of up to 3 months,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2014-01-30 11:39:54,
2000-01,2.7257,Estimated value
2000-02,2.7257,Estimated value
2000-03,2.7257,Estimated value
2000-04,2.7257,Estimated value
2000-05,2.7257,Estimated value
2000-06,2.7257,Estimated value
2000-07,2.7367,Estimated value
2000-08,2.7367,Estimated value
2000-09,2.7477,Estimated value
2000-10,2.7368,Estimated value
2000-11,2.7477,Estimated value
2000-12,2.7368,Estimated value
2001-01,2.7477,Estimated value
2001-02,2.7368,Estimated value
2001-03,2.7259,Estimated value
2001-04,2.7149,Estimated value
2001-05,2.7259,Estimated value
2001-06,2.6930,Estimated value
2001-07,2.6818,Estimated value
2001-08,2.6595,Estimated value
2001-09,2.6369,Estimated value
2001-10,2.6142,Estimated value
2001-11,2.5798,Estimated value
2001-12,2.5450,Estimated value
2002-01,2.5332,Estimated value
2002-02,2.5213,Estimated value
2002-03,2.5094,Estimated value
2002-04,2.4975,Estimated value
2002-05,2.4975,Estimated value
2002-06,2.4975,Estimated value
2002-07,2.4855,Estimated value
2002-08,2.4614,Estimated value
2002-09,2.4492,Estimated value
2002-10,2.4369,Estimated value
2002-11,2.4369,Estimated value
2002-12,2.4000,Estimated value
