"",BBFB1.Q.N.DE.ES.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.ES.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Spain,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:56,
1991-01,-664.084,
1991-04,-1021.506,
1991-07,-1262.508,
1991-10,-969.986,
1992-01,-582.417,
1992-04,-1054.380,
1992-07,-1281.120,
1992-10,-906.471,
1993-01,-611.814,
1993-04,-1061.325,
1993-07,-1210.160,
1993-10,-1035.213,
1994-01,-723.342,
1994-04,-1226.934,
1994-07,-1397.219,
1994-10,-1186.466,
1995-01,-741.734,
1995-04,-1304.275,
1995-07,-1493.034,
1995-10,-1199.966,
1996-01,-836.998,
1996-04,-1331.402,
1996-07,-1568.006,
1996-10,-1296.801,
1997-01,-907.040,
1997-04,-1417.489,
1997-07,-1645.603,
1997-10,-1321.377,
1998-01,-835.540,
1998-04,-1458.961,
1998-07,-1764.773,
1998-10,-1392.633,
1999-01,-1155.755,
1999-04,-1982.922,
1999-07,-2309.858,
1999-10,-1794.553,
2000-01,-1254.482,
2000-04,-2064.352,
2000-07,-2323.652,
2000-10,-1934.218,
2001-01,-1176.044,
2001-04,-1969.993,
2001-07,-2279.249,
2001-10,-1763.367,
2002-01,-1507.811,
2002-04,-1795.369,
2002-07,-2121.303,
2002-10,-1445.934,
2003-01,-1064.577,
2003-04,-1794.448,
2003-07,-2303.614,
2003-10,-1432.978,
2004-01,-1029.061,
2004-04,-1375.965,
2004-07,-1810.129,
2004-10,-1338.624,
2005-01,-1077.637,
2005-04,-1558.848,
2005-07,-2020.526,
2005-10,-1231.443,
2006-01,-843.703,
2006-04,-1639.597,
2006-07,-1766.698,
2006-10,-917.322,
2007-01,-952.770,
2007-04,-1479.744,
2007-07,-1961.190,
2007-10,-1016.225,
2008-01,-644.553,
2008-04,-1637.350,
2008-07,-1923.290,
2008-10,-1042.195,
2009-01,-969.734,
2009-04,-1399.515,
2009-07,-1870.780,
2009-10,-1221.368,
2010-01,-814.278,
2010-04,-1484.252,
2010-07,-1919.614,
2010-10,-1182.876,
2011-01,-790.379,
2011-04,-1651.908,
2011-07,-2218.259,
2011-10,-1223.458,
2012-01,-945.930,
2012-04,-1691.331,
2012-07,-2010.946,
2012-10,-1164.926,
2013-01,-1093.096,
2013-04,-1821.689,
2013-07,-2556.531,
2013-10,-1898.877,
2014-01,-1105.007,Provisional value
2014-04,-1950.336,Provisional value
2014-07,-2572.284,Provisional value
