"",BBK01.OEBO04N,BBK01.OEBO04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:17,
2002-01,0.803,
2002-04,-2.119,
2002-07,-0.010,
2002-10,2.502,
2003-01,1.251,
2003-04,0.040,
2003-07,1.104,
2003-10,1.235,
2004-01,0.534,
2004-04,-0.004,
2004-07,0.810,
2004-10,0.265,
2005-01,0.116,
2005-04,-0.213,
2005-07,-1.011,
2005-10,-0.546,
2006-01,-0.314,
2006-04,0.249,
2006-07,0.308,
2006-10,0.661,
2007-01,1.200,
2007-04,0.902,
2007-07,1.292,
2007-10,1.939,
2008-01,0.613,
2008-04,-0.385,
2008-07,0.622,
2008-10,4.189,
2009-01,-1.079,
2009-04,-0.945,
2009-07,-2.817,
2009-10,-1.986,
2010-01,-1.269,
2010-04,-0.561,
2010-07,-0.392,
2010-10,0.828,
2011-01,0.280,
2011-04,-0.710,
2011-07,-0.377,
2011-10,-0.561,
2012-01,0.936,
2012-04,-0.283,
2012-07,-0.246,
2012-10,-0.744,
2013-01,-1.735,
2013-04,-0.812,
2013-07,-0.445,
2013-10,-0.157,
2014-01,-0.474,
2014-04,-0.492,
2014-07,0.953,
