"",BBFB1.Q.N.DE.TR.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.TR.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Turkey,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:55,
1991-01,-30.821,
1991-04,0.018,
1991-07,-30.799,
1991-10,-0.583,
1992-01,-2.642,
1992-04,2.538,
1992-07,-18.577,
1992-10,-1.110,
1993-01,0.044,
1993-04,-0.027,
1993-07,-1.545,
1993-10,-0.176,
1994-01,-0.227,
1994-04,-0.257,
1994-07,-0.416,
1994-10,-0.663,
1995-01,-0.173,
1995-04,-0.007,
1995-07,-0.343,
1995-10,-0.728,
1996-01,-0.143,
1996-04,-0.103,
1996-07,0.413,
1996-10,-0.465,
1997-01,-1.198,
1997-04,-1.116,
1997-07,-0.199,
1997-10,-0.170,
1998-01,-0.506,
1998-04,-1.357,
1998-07,-1.425,
1998-10,-0.370,
1999-01,-0.406,
1999-04,-0.120,
1999-07,-1.525,
1999-10,-0.455,
2000-01,-0.079,
2000-04,-0.504,
2000-07,-0.316,
2000-10,-1.503,
2001-01,-0.010,
2001-04,-0.524,
2001-07,0.849,
2001-10,0.599,
2002-01,-1.200,
2002-04,0.078,
2002-07,0.004,
2002-10,0.162,
2003-01,-0.263,
2003-04,-0.255,
2003-07,-0.010,
2003-10,-0.299,
2004-01,0.043,
2004-04,-0.579,
2004-07,0.629,
2004-10,-0.393,
2005-01,-0.230,
2005-04,-0.426,
2005-07,-0.078,
2005-10,-1.897,
2006-01,-1.597,
2006-04,-1.617,
2006-07,-2.481,
2006-10,-1.987,
2007-01,-1.833,
2007-04,-1.541,
2007-07,-3.083,
2007-10,-1.464,
2008-01,-2.514,
2008-04,-1.869,
2008-07,16.798,
2008-10,-5.017,
2009-01,-4.538,
2009-04,-3.180,
2009-07,-1.871,
2009-10,-3.376,
2010-01,-1.159,
2010-04,1.124,
2010-07,-0.965,
2010-10,-2.449,
2011-01,-5.947,
2011-04,-4.649,
2011-07,-1.157,
2011-10,-2.260,
2012-01,-1.849,
2012-04,-0.643,
2012-07,-0.280,
2012-10,-0.718,
2013-01,81.189,
2013-04,152.274,
2013-07,-163.745,
2013-10,184.218,
2014-01,68.161,Provisional value
2014-04,11.500,Provisional value
2014-07,-20.964,Provisional value
2014-10,-100.535,Provisional value
