"",BBK01.OEXB10Q,BBK01.OEXB10Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:39,
2002-01,0.788,
2002-04,0.704,
2002-07,0.734,
2002-10,0.776,
2003-01,0.673,
2003-04,0.758,
2003-07,0.654,
2003-10,0.613,
2004-01,0.635,
2004-04,0.653,
2004-07,0.605,
2004-10,0.133,
2005-01,0.139,
2005-04,0.144,
2005-07,0.138,
2005-10,0.136,
2006-01,0.170,
2006-04,0.204,
2006-07,0.189,
2006-10,0.170,
2007-01,0.196,
2007-04,0.204,
2007-07,0.199,
2007-10,0.217,
2008-01,0.237,
2008-04,0.264,
2008-07,0.261,
2008-10,0.204,
2009-01,0.211,
2009-04,0.205,
2009-07,0.196,
2009-10,0.190,
2010-01,0.197,
2010-04,0.210,
2010-07,0.202,
2010-10,0.200,
2011-01,0.215,
2011-04,0.222,
2011-07,0.217,
2011-10,0.175,
2012-01,0.165,
2012-04,0.194,
2012-07,0.219,
2012-10,0.194,
2013-01,0.220,
2013-04,0.214,
2013-07,0.245,
2013-10,0.239,
2014-01,0.222,
2014-04,0.248,
2014-07,0.252,
