"",BBFB1.Q.N.DE.HU.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.HU.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Hungary,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:58,
1991-01,14.539,
1991-04,27.582,
1991-07,64.245,
1991-10,243.932,
1992-01,198.926,
1992-04,37.679,
1992-07,123.193,
1992-10,-67.779,
1993-01,915.061,
1993-04,21.246,
1993-07,577.921,
1993-10,-148.317,
1994-01,425.254,
1994-04,40.714,
1994-07,-11.996,
1994-10,96.861,
1995-01,-729.284,
1995-04,193.974,
1995-07,-152.968,
1995-10,-138.908,
1996-01,472.647,
1996-04,-391.139,
1996-07,-152.028,
1996-10,-75.863,
1997-01,-175.587,
1997-04,304.252,
1997-07,375.507,
1997-10,36.176,
1998-01,563.033,
1998-04,-26.011,
1998-07,61.343,
1998-10,520.431,
1999-01,-252.193,
1999-04,382.616,
1999-07,-47.418,
1999-10,1201.787,
2000-01,574.806,
2000-04,-244.745,
2000-07,1194.398,
2000-10,13.192,
2001-01,298.148,
2001-04,1356.894,
2001-07,18.072,
2001-10,-237.737,
2002-01,859.710,
2002-04,108.320,
2002-07,343.746,
2002-10,401.558,
2003-01,1030.437,
2003-04,388.782,
2003-07,799.033,
2003-10,-801.317,
2004-01,309.544,
2004-04,555.843,
2004-07,660.667,
2004-10,598.569,
2005-01,1105.240,
2005-04,3116.647,
2005-07,813.730,
2005-10,893.854,
2006-01,-2475.365,
2006-04,-157.276,
2006-07,499.032,
2006-10,-294.625,
2007-01,1098.727,
2007-04,127.719,
2007-07,-214.032,
2007-10,-119.116,
2008-01,-101.056,
2008-04,-3.539,
2008-07,370.596,
2008-10,131.752,
2009-01,803.856,
2009-04,36.759,
2009-07,457.968,
2009-10,556.879,
2010-01,1412.235,
2010-04,-118.434,
2010-07,670.825,
2010-10,-1598.340,
2011-01,257.169,
2011-04,-471.141,
2011-07,561.962,
2011-10,668.648,
2012-01,-542.823,
2012-04,-257.976,
2012-07,1744.314,
2012-10,701.438,
2013-01,-1424.442,
2013-04,-198.032,
2013-07,102.350,
2013-10,-596.799,
2014-01,839.212,Provisional value
2014-04,779.250,Provisional value
2014-07,-84.230,Provisional value
2014-10,-360.141,Provisional value
