"",BBK01.OEXL04U,BBK01.OEXL04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:11,
2002-01,0.160,
2002-04,0.153,
2002-07,0.147,
2002-10,0.150,
2003-01,0.143,
2003-04,0.143,
2003-07,0.140,
2003-10,0.132,
2004-01,0.129,
2004-04,0.123,
2004-07,0.120,
2004-10,0.066,
2005-01,0.067,
2005-04,0.062,
2005-07,0.060,
2005-10,0.055,
2006-01,0.057,
2006-04,0.059,
2006-07,0.061,
2006-10,0.116,
2007-01,0.115,
2007-04,0.102,
2007-07,0.090,
2007-10,0.092,
2008-01,0.087,
2008-04,0.086,
2008-07,0.092,
2008-10,0.093,
2009-01,0.045,
2009-04,0.055,
2009-07,0.053,
2009-10,0.020,
2010-01,0.045,
2010-04,0.058,
2010-07,0.032,
2010-10,0.020,
2011-01,0.022,
2011-04,0.023,
2011-07,0.026,
2011-10,0.033,
2012-01,0.040,
2012-04,0.043,
2012-07,0.040,
2012-10,0.055,
2013-01,0.045,
2013-04,0.043,
2013-07,0.035,
2013-10,0.032,
2014-01,0.034,
2014-04,0.034,
2014-07,0.036,
