"",BBK01.OEXK02Q,BBK01.OEXK02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:07,
2002-01,0.538,
2002-04,0.517,
2002-07,0.517,
2002-10,0.518,
2003-01,0.476,
2003-04,0.499,
2003-07,0.601,
2003-10,0.582,
2004-01,0.515,
2004-04,0.528,
2004-07,0.509,
2004-10,0.360,
2005-01,0.349,
2005-04,0.375,
2005-07,0.406,
2005-10,0.439,
2006-01,0.459,
2006-04,0.485,
2006-07,0.447,
2006-10,0.533,
2007-01,0.623,
2007-04,0.742,
2007-07,0.808,
2007-10,0.796,
2008-01,0.853,
2008-04,0.953,
2008-07,1.012,
2008-10,1.000,
2009-01,1.029,
2009-04,1.016,
2009-07,1.055,
2009-10,1.113,
2010-01,1.142,
2010-04,1.211,
2010-07,1.228,
2010-10,1.312,
2011-01,1.281,
2011-04,1.368,
2011-07,1.430,
2011-10,1.460,
2012-01,1.452,
2012-04,1.490,
2012-07,1.584,
2012-10,1.617,
2013-01,1.617,
2013-04,1.701,
2013-07,1.810,
2013-10,1.937,
2014-01,1.936,
2014-04,1.952,
2014-07,1.999,
