"",BBK01.OEAD22U,BBK01.OEAD22U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:41,
2002-01,0.004,
2002-04,0.007,
2002-07,0.010,
2002-10,0.010,
2003-01,0.010,
2003-04,0.010,
2003-07,0.009,
2003-10,0.008,
2004-01,0.007,
2004-04,0.008,
2004-07,0.006,
2004-10,0.008,
2005-01,0.007,
2005-04,0.009,
2005-07,0.010,
2005-10,0.010,
2006-01,0.010,
2006-04,0.010,
2006-07,0.005,
2006-10,0.005,
2007-01,0.004,
2007-04,0.005,
2007-07,0.005,
2007-10,0.006,
2008-01,0.006,
2008-04,0.008,
2008-07,0.010,
2008-10,0.008,
2009-01,0.013,
2009-04,0.015,
2009-07,0.015,
2009-10,0.017,
2010-01,0.017,
2010-04,0.014,
2010-07,0.019,
2010-10,0.017,
2011-01,0.017,
2011-04,0.018,
2011-07,0.019,
2011-10,0.020,
2012-01,0.030,
2012-04,0.028,
2012-07,0.033,
2012-10,0.024,
2013-01,0.025,
2013-04,0.023,
2013-07,0.026,
2013-10,0.024,
2014-01,0.020,
2014-04,0.019,
2014-07,0.019,
